ssid,disab,index
10164855,10,1
10165126,10,1
10165479,10,1
10165878,10,1
10166742,10,1
10166955,10,1
10167447,10,1
10167560,10,1
10167749,10,1
10168370,10,1
10168435,10,1
10168443,10,1
10168494,10,1
10168524,10,1
10168877,10,1
10169911,10,1
10170561,10,1
10170790,10,1
10174435,10,1
10174451,10,1
10174478,10,1
10174559,10,1
10187421,10,1
10187731,10,1
10187820,10,1
10187901,10,1
10187936,10,1
10188207,10,1
10188703,10,1
10189009,10,1
10189017,10,1
10189351,10,1
10189467,10,1
10189726,10,1
10189734,10,1
10189823,10,1
10190317,10,1
10190376,10,1
10192085,10,1
10199381,10,1
10200622,10,1
10201521,10,1
10202080,10,1
10203427,10,1
10203923,10,1
10203958,10,1
10204105,10,1
10204504,10,1
10204830,10,1
10206663,10,1
10207856,10,1
10207953,10,1
10208720,10,1
10208828,10,1
10210164,10,1
10210474,10,1
10212000,10,1
10212876,10,1
10212906,10,1
10213414,10,1
10213546,10,1
10216073,10,1
10216189,10,1
10217452,10,1
10217584,10,1
10217673,10,1
10217703,10,1
10218165,10,1
10218394,10,1
10218475,10,1
10218742,10,1
10219587,10,1
10220046,10,1
10221247,10,1
10221360,10,1
10221379,10,1
10222219,10,1
10222359,10,1
10222553,10,1
10223002,10,1
10223339,10,1
10223436,10,1
10223762,10,1
10223770,10,1
10223789,10,1
10223991,10,1
10224386,10,1
10225072,10,1
10225382,10,1
10225692,10,1
10225846,10,1
10225986,10,1
10226125,10,1
10226222,10,1
10226338,10,1
10226818,10,1
10227547,10,1
10227644,10,1
10228063,10,1
10228144,10,1
10228373,10,1
10228489,10,1
10228756,10,1
10229728,10,1
10230378,10,1
10231145,10,1
10231528,10,1
10232389,10,1
10232893,10,1
10233288,10,1
10233598,10,1
10233806,10,1
10234055,10,1
10234098,10,1
10234241,10,1
10234616,10,1
10235590,10,1
10236732,10,1
10237755,10,1
10238662,10,1
10238670,10,1
10238719,10,1
10239405,10,1
10239677,10,1
10239766,10,1
10239782,10,1
10240101,10,1
10240853,10,1
10241027,10,1
10241051,10,1
10241086,10,1
10241256,10,1
10241310,10,1
10241930,10,1
10243410,10,1
10246061,10,1
10246657,10,1
10247742,10,1
10248080,10,1
10249079,10,1
10249265,10,1
10249524,10,1
10250204,10,1
10250298,10,1
10250301,10,1
10251103,10,1
10251642,10,1
10252681,10,1
10255060,10,1
10259198,10,1
10259317,10,1
10260129,10,1
10268634,10,1
10268758,10,1
10269231,10,1
10269975,10,1
10270094,10,1
10270329,10,1
