"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
38,4.3,1,489,95,0.14,1.45,5.05,4.26,7.73,0,0.28,1,82.1,84.4,0.47,0.4,4.3,1," R"," ."," S11PHS1.7H9"
39,0.86,2,489,317,0.13,1.15,2.24,1.29,1.8,0.08,0.59,1,77.1,80,0.63,0.4,0.86,1," R"," ."," S11ESS1.4L2"
40,0.33,2,489,347,0.14,0.83,-2.33,0.55,-2.76,0.1,0.7,1,85.9,83,0.64,0.32,0.33,1," R"," ."," S11PHS1.7L1"
41,1.55,2,489,316,0.12,0.84,-2.95,0.7,-2.35,-0.58,0.67,1,82.1,77.1,0.61,0.36,1.55,1," R"," ."," S11LFS2.2H20"
42,0.97,2,489,281,0.13,1.18,2.68,1.2,1.29,0.51,0.61,1,75.1,79.5,0.63,0.41,0.97,1," R"," ."," S11ESS3.4H15"
43,1.39,2,489,310,0.12,0.87,-2.35,0.72,-2.18,-0.33,0.66,1,81.6,77.7,0.61,0.36,1.39,1," R"," ."," S11PHS2.1M12"
44,1.01,2,489,301,0.13,1.02,0.26,0.88,-0.79,0.18,0.63,1,78.7,79.3,0.63,0.38,1.01,1," R"," ."," S11ESS1.4H19"
45,1.47,2,489,310,0.12,1.25,4.07,1.59,3.63,-0.41,0.54,1,69.1,77.4,0.61,0.44,1.47,1," R"," ."," S11PHS1.2M04"
46,1.56,2,489,330,0.12,0.97,-0.55,0.88,-0.84,-0.82,0.64,1,78,77.1,0.61,0.39,1.56,1," R"," ."," S11LFS3.2H5"
47,1.22,2,489,284,0.12,0.98,-0.33,0.9,-0.71,0.22,0.64,1,77.8,78.4,0.62,0.38,1.22,1," R"," ."," S11ESS2.5L2"
48,2.9,2,489,240,0.12,1.19,3.14,1.57,2.72,-0.79,0.58,1,72.4,76.9,0.55,0.43,2.9,1," R"," ."," S11PHS2.1H15"
