"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-0.25,2,605,488,0.12,0.81,-2.82,0.74,-1.61,-0.66,0.64,1,88.3,84.1,0.63,0.3,-0.25,1," R"," ."," S05ESS2.1Msample"
2,-0.57,2,605,469,0.13,1,0.05,1.09,0.48,0.01,0.64,1,84.3,86.2,0.63,0.32,-0.57,1," R"," ."," S05LFS2.1H23"
3,-0.04,2,605,485,0.12,0.73,-4.54,0.62,-2.8,-0.81,0.67,1,87.7,82.8,0.63,0.3,-0.04,1," R"," ."," S05PHS3.1L10"
4,-1.37,2,605,499,0.15,0.95,-0.44,0.47,-2.24,0.24,0.69,1,89.5,90.8,0.63,0.26,-1.36,1," R"," ."," S05ETS1.2L1"
5,0.98,2,605,400,0.11,0.93,-1.26,1.1,0.92,-0.54,0.61,1,81,77.7,0.6,0.38,0.98,1," R"," ."," S05ESS1.1H8"
6,-0.76,1,605,480,0.14,1.02,0.21,0.84,-0.71,0,0.64,1,86.4,87.5,0.63,0.31,-0.75,1," R"," ."," S05PHS1.1LSAMPLE"
7,-0.4,2,605,441,0.13,0.95,-0.67,0.84,-0.86,0.28,0.69,1,83.6,85.1,0.63,0.32,-0.4,1," R"," ."," S05LFS2.1H15"
8,0.59,2,605,422,0.11,0.89,-1.94,1.03,0.3,-0.44,0.63,1,81.7,79.3,0.61,0.36,0.59,1," R"," ."," S05PHS1.3M20"
9,0.62,2,605,378,0.11,1.23,3.94,1.47,3.47,0.08,0.53,1,75.5,79.2,0.61,0.42,0.62,1," R"," ."," S05PHS3.1H24"
10,1.09,2,605,391,0.11,1.26,4.66,1.97,6.78,-0.53,0.49,1,71.2,77.3,0.6,0.44,1.09,1," R"," ."," S05ESS2.1H30"
11,0.17,2,605,412,0.12,1.29,4.28,1.57,3.47,0.11,0.53,1,77,81.6,0.62,0.41,0.17,1," R"," ."," S05ETS1.1H23"
12,-0.21,2,605,414,0.12,1.19,2.69,1.22,1.28,0.46,0.62,1,80.3,83.9,0.63,0.37,-0.21,1," R"," ."," S05LFS1.1H16"
13,1.28,2,605,383,0.1,0.83,-3.66,0.86,-1.28,-0.62,0.66,1,82.9,76.8,0.59,0.36,1.28,1," R"," ."," S05ESS3.1M4"
14,0.67,2,605,360,0.11,1.08,1.42,1.13,1.1,0.24,0.6,1,77.2,78.9,0.61,0.4,0.67,1," R"," ."," S05PHS2.1M5"
15,0.18,2,605,396,0.12,1.03,0.51,0.87,-0.92,0.3,0.65,1,79.8,81.5,0.62,0.36,0.18,1," R"," ."," S05LFS2.1M30"
16,2.57,1,605,205,0.1,1.37,6.96,2.01,4.76,0,0.35,1,66.5,76.2,0.51,0.46,2.57,1," R"," ."," S05ESS1.1H30"
17,0.78,2,605,362,0.11,1.24,4.19,1.33,2.59,0.1,0.53,1,72.4,78.4,0.61,0.43,0.78,1," R"," ."," S05PHS1.3H24"
18,0.06,1,605,428,0.12,0.85,-2.41,0.72,-2.07,0,0.67,1,84.1,82.2,0.62,0.33,0.06,1," R"," ."," S05LFS2.1M19"
19,0.47,2,605,339,0.11,1.43,6.65,1.7,4.68,0.67,0.52,1,70.6,79.9,0.62,0.45,0.47,1," R"," ."," S05ETS1.1H24"
