"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PostHocDiscrim","Group","Model","ItemID"
1,-0.86,2,193,165,0.28,1.25,1.55,1.02,0.21,-0.42,0.6,1,82.3,87.5,0.79,1,"R ","S11PHS3.3L1"
2,-0.25,2,193,155,0.27,1.18,1.16,1.35,0.93,-0.2,0.65,1,83,86.3,0.83,1,"R ","S11PHS3.3M13"
3,0.08,2,193,148,0.26,0.94,-0.37,0.86,-0.32,-0.04,0.72,1,87.2,85.4,1.06,1,"R ","S11PHS3.3H14"
4,-1.9,2,193,173,0.34,0.82,-0.95,0.42,-0.61,-0.19,0.64,1,94.3,91.3,1.16,1,"R ","S11LFS1.7L16"
5,0.05,2,193,153,0.26,0.74,-1.81,0.59,-1.3,-0.35,0.74,1,87.9,85.4,1.25,1,"R ","S11LFS1.7M9"
6,2.07,2,193,109,0.22,1.3,2.61,2.25,3.4,0.1,0.63,1,71.6,78.3,0.41,1,"R ","S11LFS1.7H5"
7,-0.48,2,193,155,0.27,1.02,0.21,0.83,-0.26,0.03,0.69,1,88.7,86.7,1,1,"R ","S11LFS4.3L7"
8,-1.45,2,193,169,0.31,0.83,-1.04,1.88,1.22,-0.19,0.65,1,91.5,89.3,1.1,1,"R ","S11LFS4.3M9"
9,-0.48,2,193,153,0.27,0.94,-0.33,0.71,-0.58,0.18,0.72,1,90.1,86.7,1.07,1,"R ","S11LFS4.3H14"
10,0.86,2,193,133,0.24,1.11,0.83,1.02,0.18,0.08,0.71,1,80.9,82.6,0.9,1,"R ","S11ESS1.4L2"
11,1.31,2,193,123,0.23,1.69,4.67,2.35,4.13,0.16,0.57,1,68.8,81.1,0.09,1,"R ","S11ESS1.4H15"
12,-1.83,2,193,172,0.33,0.72,-1.63,0.23,-1.06,-0.14,0.67,1,92.2,91,1.28,1,"R ","S11LFS1.2L11"
13,-1.23,2,193,166,0.3,0.78,-1.41,0.37,-1.11,-0.11,0.69,1,91.5,88.4,1.23,1,"R ","S11LFS1.2M19"
14,0.17,2,193,147,0.25,0.98,-0.07,0.97,0,-0.06,0.71,1,85.1,85.1,1.01,1,"R ","S11LFS1.2H10"
15,0.1,2,193,148,0.26,0.8,-1.42,0.92,-0.15,-0.06,0.74,1,90.1,85.3,1.16,1,"R ","S11LFS1.5L6"
16,-0.58,2,193,158,0.27,0.89,-0.69,0.7,-0.57,-0.09,0.71,1,87.9,86.8,1.13,1,"R ","S11LFS1.5M13"
17,1.55,2,193,122,0.22,1.15,1.23,1.43,1.58,-0.02,0.68,1,80.1,80.1,0.74,1,"R ","S11LFS2.2H20"
18,-1.15,2,193,163,0.3,0.74,-1.68,0.34,-1.27,0.08,0.72,1,89.4,88.1,1.27,1,"R ","S11LFS2.6L1"
19,0.24,2,193,145,0.25,0.81,-1.34,0.53,-1.71,0,0.76,1,90.1,84.9,1.22,1,"R ","S11LFS2.6M18"
20,-0.17,2,193,151,0.26,1.19,1.21,1.24,0.71,0.01,0.67,1,81.6,86.1,0.84,1,"R ","S11ESS1.1L11"
21,-0.93,2,193,160,0.29,0.65,-2.46,0.28,-1.7,0.11,0.75,1,91.5,87.6,1.35,1,"R ","S11ESS1.1M8"
22,0.46,2,193,141,0.25,0.67,-2.57,0.41,-2.6,0.03,0.79,1,87.9,84.2,1.36,1,"R ","S11PHS1.2M08"
23,0.33,2,193,142,0.25,1.06,0.44,1.26,0.9,0.09,0.71,1,82.3,84.6,0.92,1,"R ","S11PHS1.7L1"
24,-0.38,2,193,152,0.27,1.4,2.37,1.44,1.06,0.16,0.64,1,78.7,86.5,0.63,1,"R ","S11PHS1.7M14"
25,1.39,2,193,124,0.23,1.15,1.19,1.03,0.19,0.04,0.7,1,74.5,80.8,0.86,1,"R ","S11PHS2.1M12"
26,2.9,2,193,94,0.22,0.93,-0.64,1.29,0.83,-0.03,0.69,1,82.3,78.1,1.01,1,"R ","S11PHS2.1H15"
27,-0.23,2,193,151,0.26,0.61,-2.88,0.77,-0.5,0.07,0.77,1,92.9,86.2,1.33,1,"R ","S11PHS3.4L6"
28,0.2,2,193,145,0.25,0.8,-1.38,0.56,-1.53,0.04,0.76,1,86.5,85,1.22,1,"R ","S11PHS3.4H15"
29,-1.28,2,193,163,0.3,1,0.05,0.55,-0.6,0.22,0.69,1,85.1,88.6,1.05,1,"R ","S11PHS4.2M17"
30,-0.71,2,193,157,0.28,0.76,-1.65,1.2,0.55,0.13,0.73,1,89.4,87.1,1.18,1,"R ","S11PHS4.2H19"
6,1.22,2,182,118,0.23,1.08,0.66,1.44,1.75,-0.02,0.66,1,81.3,82.4,0.86,1,"R ","S11ESS2.5L2"
7,-0.63,2,182,144,0.29,1.35,1.87,0.98,0.13,0.18,0.69,1,86,89.4,0.76,1,"R ","S11ESS2.5M8"
8,-0.42,2,182,147,0.28,0.58,-2.89,0.28,-2.07,-0.31,0.79,1,94.7,88.5,1.35,1,"R ","S11PHS1.2L06"
9,1.47,2,182,110,0.22,1.63,4.42,1.95,3.45,0.11,0.54,1,66,81,0.21,1,"R ","S11PHS1.2M04"
10,3.65,2,182,59,0.21,1.3,3.07,2.19,2.35,0.08,0.45,1,70,77.2,0.27,1,"R ","S11PHS1.2H20"
11,-0.17,2,182,141,0.27,0.77,-1.45,0.64,-0.86,-0.05,0.76,1,91.3,87.6,1.18,1,"R ","S11LFS1.7L7"
12,-0.57,2,182,146,0.29,0.8,-1.18,0.42,-1.32,-0.06,0.77,1,90,89.2,1.2,1,"R ","S11LFS1.7M18"
13,1.51,2,182,112,0.22,1.31,2.41,1.43,1.78,-0.02,0.61,1,73.3,80.8,0.61,1,"R ","S11LFS1.7H15"
14,0.44,2,182,132,0.25,0.86,-0.91,0.83,-0.49,-0.04,0.74,1,86.7,85.5,1.14,1,"R ","S11LFS2.2L1"
15,0.9,2,182,124,0.23,1.16,1.15,1.13,0.57,-0.03,0.67,1,80,83.9,0.85,1,"R ","S11LFS2.2M8"
16,0.31,2,182,134,0.25,0.79,-1.41,0.64,-1.18,-0.04,0.76,1,88,85.9,1.2,1,"R ","S11LFS2.2H19"
17,-1.25,2,182,152,0.33,0.91,-0.37,0.65,-0.32,0.05,0.74,1,92,91.8,1.08,1,"R ","S11LFS2.6Lsample"
18,-1.49,2,182,155,0.34,0.7,-1.52,0.42,-0.72,-0.06,0.76,1,95.3,92.5,1.21,1,"R ","S11LFS2.6M19"
19,-1.3,2,182,152,0.33,0.84,-0.74,0.32,-1.03,0.1,0.76,1,92.7,91.9,1.16,1,"R ","S11LFS3.2L2"
20,0.11,2,182,136,0.26,0.93,-0.4,1.07,0.32,0.02,0.73,1,88,86.6,1.05,1,"R ","S11LFS3.2H9"
21,-0.82,2,182,147,0.3,0.89,-0.55,1.48,0.92,0.11,0.75,1,90.7,90.2,1.09,1,"R ","S11LFS4.4M18"
22,0.68,2,182,127,0.24,1.3,1.95,1.17,0.69,0.02,0.66,1,80,84.7,0.74,1,"R ","S11LFS4.4H15"
23,-0.54,2,182,144,0.29,0.94,-0.29,1.29,0.71,0.08,0.73,1,90,89.1,1.01,1,"R ","S11ESS2.1L6"
24,-0.05,2,182,138,0.27,0.74,-1.71,0.44,-1.71,0.05,0.78,1,92,87.2,1.24,1,"R ","S11ESS2.1M8"
25,0.56,2,182,129,0.25,1.15,0.99,1.1,0.44,0.02,0.69,1,82.7,85.1,0.87,1,"R ","S11ESS3.1L1"
26,-1.02,2,182,149,0.32,0.77,-1.23,0.39,-1.05,0.13,0.77,1,92,91,1.2,1,"R ","S11ESS3.1M18"
27,-0.72,2,182,146,0.3,0.65,-2.16,0.33,-1.51,0.1,0.79,1,94,89.8,1.29,1,"R ","S11ESS3.1H20"
28,-0.21,2,182,140,0.27,0.76,-1.55,0.37,-1.86,0.06,0.78,1,88.7,87.7,1.25,1,"R ","S11ESS3.4Lsample"
29,0.02,2,182,137,0.27,0.92,-0.44,0.65,-0.93,0.05,0.74,1,88.7,86.9,1.1,1,"R ","S11ESS3.4M19"
30,0.97,2,182,122,0.23,0.87,-0.92,0.65,-1.57,0.02,0.73,1,84,83.6,1.17,1,"R ","S11ESS3.4H15"
31,-0.13,2,182,139,0.27,0.81,-1.18,0.75,-0.53,0.06,0.76,1,90,87.5,1.16,1,"R ","S11PHS1.3L6"
32,-0.21,2,182,140,0.27,1.16,1,1,0.15,0.06,0.7,1,84.7,87.7,0.89,1,"R ","S11PHS2.1L6"
33,1.07,2,182,120,0.23,0.96,-0.24,0.84,-0.62,0.01,0.71,1,82.7,83.1,1.06,1,"R ","S11PHS2.1M3"
34,0.3,2,182,133,0.26,1.25,1.57,1.14,0.51,0.03,0.68,1,80.7,85.9,0.8,1,"R ","S11PHS2.1H14"
35,-0.46,2,182,143,0.29,0.95,-0.25,0.79,-0.31,0.08,0.74,1,90.7,88.7,1.04,1,"R ","S11PHS3.3L11"
36,-0.37,2,182,142,0.28,0.76,-1.49,0.42,-1.5,0.07,0.78,1,91.3,88.4,1.23,1,"R ","S11PHS3.3M8"
37,1.48,2,182,112,0.22,0.98,-0.11,0.83,-0.73,0.01,0.69,1,83.3,80.9,1.05,1,"R ","S11PHS3.3H20"
38,0.31,2,182,132,0.25,0.77,-1.56,0.48,-1.88,0.09,0.77,1,86.7,85.9,1.24,1,"R ","S11PHS4.1L11"
12,-0.07,2,201,155,0.26,0.72,-1.94,0.46,-1.66,-0.04,0.77,1,91.9,87.3,1.26,1,"R ","S11LFS1.5Lsample"
13,-0.21,2,201,157,0.26,0.71,-2.02,0.41,-1.75,-0.04,0.78,1,91.3,87.8,1.27,1,"R ","S11LFS1.5M17"
14,-0.82,2,201,165,0.29,1.03,0.23,1.39,0.81,-0.06,0.71,1,92.5,90,0.93,1,"R ","S11LFS1.2L7"
15,-0.58,2,201,162,0.28,0.84,-0.94,0.63,-0.71,-0.05,0.75,1,89.4,89.1,1.14,1,"R ","S11LFS1.2M8"
16,-0.21,2,201,157,0.26,0.9,-0.59,0.48,-1.46,-0.04,0.75,1,87.5,87.8,1.14,1,"R ","S11LFS1.2H20"
17,-1.18,2,201,169,0.31,0.86,-0.74,0.63,-0.4,-0.07,0.75,1,90.6,91.3,1.13,1,"R ","S11LFS3.2L12"
18,1.56,2,201,125,0.21,1.04,0.39,0.94,-0.2,-0.05,0.68,1,78.8,80.2,0.97,1,"R ","S11LFS3.2H5"
19,0.57,2,201,144,0.24,1.05,0.39,1.04,0.22,0,0.71,1,83.8,84.8,0.96,1,"R ","S11LFS4.3L1"
20,-0.34,2,201,158,0.27,0.73,-1.77,0.45,-1.43,0.02,0.77,1,92.5,88.3,1.23,1,"R ","S11LFS4.3M8"
21,0.99,2,201,136,0.22,1.19,1.41,1.11,0.51,0,0.67,1,76.3,83.1,0.83,1,"R ","S11LFS4.3H15"
22,-0.5,2,201,159,0.28,1.03,0.21,0.74,-0.45,0.1,0.73,1,86.9,88.8,1.01,1,"R ","S11ESS1.1L16"
23,0.74,2,201,140,0.23,1.15,1.1,1.09,0.43,0.04,0.69,1,80,84.1,0.86,1,"R ","S11ESS1.4L1"
24,1.01,2,201,134,0.22,0.93,-0.53,0.84,-0.62,0.08,0.72,1,83.8,83,1.09,1,"R ","S11ESS1.4H19"
25,0.65,2,201,142,0.23,1.1,0.76,1.06,0.31,0.02,0.7,1,81.3,84.5,0.92,1,"R ","S11ESS3.1L16"
26,-0.42,2,201,159,0.27,1.03,0.22,0.87,-0.14,0.03,0.72,1,88.1,88.5,0.98,1,"R ","S11ESS3.1M13"
27,0.14,2,201,151,0.25,1.34,2.08,0.94,-0.05,0.01,0.68,1,81.3,86.4,0.78,1,"R ","S11ESS3.1H10"
28,-0.93,2,201,165,0.3,0.58,-2.68,0.21,-1.85,0.05,0.8,1,95,90.3,1.34,1,"R ","S11ESS3.4L16"
29,0.08,2,201,152,0.25,0.93,-0.46,0.65,-1.01,0.01,0.74,1,87.5,86.7,1.09,1,"R ","S11ESS3.4M13"
30,-0.2,2,201,156,0.26,0.76,-1.64,0.54,-1.24,0.02,0.77,1,89.4,87.8,1.22,1,"R ","S11PHS2.3L6"
31,-0.2,2,201,156,0.26,0.87,-0.82,0.53,-1.27,0.02,0.76,1,88.1,87.8,1.15,1,"R ","S11PHS3.4L11"
32,-0.05,2,201,153,0.26,0.73,-1.91,0.5,-1.49,0.08,0.78,1,90.6,87.2,1.25,1,"R ","S11PHS3.4M3"
33,-0.34,2,201,158,0.27,1.14,0.9,1.19,0.56,0.02,0.71,1,83.8,88.3,0.93,1,"R ","S11PHS3.4H20"
34,-1.34,2,201,169,0.32,0.8,-1.03,0.96,0.19,0.09,0.76,1,93.1,91.8,1.14,1,"R ","S11PHS4.2L2"
35,-0.42,2,201,159,0.27,0.86,-0.87,0.47,-1.31,0.03,0.76,1,89.4,88.5,1.17,1,"R ","S11PHS4.2M8"
36,-0.38,2,201,157,0.27,1.06,0.42,1.29,0.74,0.13,0.71,1,88.1,88.4,0.9,1,"R ","S11PHS4.2H10"
