"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PostHocDiscrim","Group","Model","ItemID"
1,-1.73,2,159,138,0.34,1.02,0.16,0.56,-0.54,-0.14,0.64,1,89.5,91.6,1.04,1,"R ","S05PHS1.3L10"
2,-0.49,2,159,126,0.27,1.06,0.44,0.96,0.03,-0.18,0.64,1,84.2,86.5,0.96,1,"R ","S05PHS1.3M21"
3,2.11,2,159,82,0.21,1.71,6.16,4.93,7.03,-0.28,0.4,1,57.9,75.6,-0.76,1,"R ","S05PHS1.3H14"
4,-0.68,2,159,129,0.28,0.67,-2.09,0.36,-1.88,-0.25,0.72,1,92.5,87.4,1.31,1,"R ","S05ESS2.2L17"
5,0.13,2,159,114,0.25,1.49,3.06,1.72,2.15,0.04,0.55,1,72.9,83.4,0.47,1,"R ","S05ESS2.2H6"
6,-1.13,2,159,131,0.31,0.79,-1.14,0.34,-1.5,0.02,0.72,1,88,89.3,1.23,1,"R ","S05LFS1.1L18"
7,0.19,2,159,119,0.25,1.16,1.16,1.21,0.8,-0.34,0.61,1,78.9,83,0.83,1,"R ","S05LFS1.1M22"
8,-0.02,2,159,122,0.26,1.16,1.09,1.27,0.91,-0.34,0.6,1,82,84.3,0.82,1,"R ","S05LFS1.1H30"
9,-0.81,2,159,130,0.29,0.85,-0.8,0.6,-0.86,-0.21,0.68,1,90.2,87.9,1.13,1,"R ","S05PHS1.1L26"
10,-0.3,2,159,117,0.27,0.96,-0.2,1.31,0.92,0.27,0.7,1,85.7,85.6,1.03,1,"R ","S05PHS1.1M20"
11,-0.68,2,159,128,0.28,1.15,0.87,1.19,0.55,-0.16,0.63,1,84.2,87.4,0.89,1,"R ","S05LFS2.1L2"
12,0.86,2,159,103,0.23,1.03,0.27,0.93,-0.26,-0.07,0.65,1,78.2,79.4,0.99,1,"R ","S05LFS2.1M12"
13,0.08,2,159,117,0.25,1.07,0.54,1.33,1.11,-0.11,0.64,1,81.2,83.7,0.92,1,"R ","S05LFS2.1H31"
14,-0.61,2,159,127,0.28,0.7,-1.89,0.94,-0.01,-0.15,0.71,1,94,87,1.21,1,"R ","S05LFS1.1Lsample"
15,0.33,2,159,112,0.24,1.19,1.35,1.23,0.9,-0.05,0.62,1,75.9,82.1,0.79,1,"R ","S05LFS1.1M11"
16,-0.46,2,159,125,0.27,0.69,-2.09,0.91,-0.11,-0.14,0.72,1,91,86.3,1.24,1,"R ","S05LFS2.1L27"
17,1.1,2,159,98,0.22,1.05,0.47,1.08,0.42,-0.05,0.64,1,75.9,78.2,0.92,1,"R ","S05LFS2.1M5"
18,-0.4,2,159,121,0.27,0.85,-0.94,0.88,-0.2,0.1,0.7,1,88.7,86.1,1.11,1,"R ","S05LFS2.1H15"
19,0.17,2,159,113,0.25,1.04,0.33,1.19,0.71,0.05,0.65,1,80.5,83.1,0.93,1,"R ","S05PHS3.1L1"
20,0.24,2,159,112,0.25,1,0.07,1,0.1,0.05,0.67,1,82.7,82.7,0.99,1,"R ","S05PHS3.1H7"
21,-0.84,2,159,126,0.29,0.91,-0.48,0.54,-1.04,0.16,0.71,1,88,88,1.12,1,"R ","S05PHS1.1Lsample"
22,-0.74,2,159,125,0.29,0.72,-1.73,0.6,-0.92,0.15,0.73,1,91,87.7,1.23,1,"R ","S05PHS1.1M22"
23,-0.03,2,159,116,0.26,1.01,0.12,1.33,1.07,0.07,0.66,1,86.5,84.3,0.94,1,"R ","S05ESS1.1L1"
24,1.48,2,159,89,0.22,1.1,0.93,1.05,0.27,0.01,0.62,1,72.2,76.9,0.86,1,"R ","S05ESS1.1M12"
25,0.98,2,159,99,0.23,0.85,-1.34,0.76,-1.07,0.02,0.69,1,82.7,78.8,1.21,1,"R ","S05ESS1.1H8"
26,-0.32,2,159,119,0.27,0.96,-0.21,0.79,-0.52,0.16,0.69,1,87.2,85.7,1.06,1,"R ","S05PHS2.1L1"
27,0.67,2,159,103,0.23,0.95,-0.37,0.82,-0.7,0.11,0.68,1,79.7,80.3,1.08,1,"R ","S05PHS2.1M5"
