"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-1.28,2,578,1086,0.18,1.01,0.13,0.64,-1.08,-0.25,0.62,1,90.3,92.1,0.63,0.25,-1.27,1," R"," ."," S11PHS4.2M17"
2,-0.71,2,578,1064,0.15,0.73,-3.07,0.34,-2.99,-0.17,0.69,1,90.9,89.2,0.63,0.24,-0.7,1," R"," ."," S11PHS4.2H19"
3,-0.58,2,578,1042,0.15,1.03,0.41,1.12,0.53,0.2,0.64,1,87.9,88.4,0.63,0.3,-0.58,1," R"," ."," S11LFS1.5M13"
4,0.34,2,578,1022,0.13,1.3,4.02,1.3,1.66,-0.35,0.52,1,76.7,83.3,0.63,0.39,0.34,1," R"," ."," S11ESS2.5H9"
5,-0.5,2,578,1060,0.15,0.69,-3.92,0.58,-1.79,-0.29,0.69,1,91.9,87.9,0.63,0.25,-0.5,1," R"," ."," S11ESS1.1L16"
6,-0.48,2,578,1057,0.15,0.89,-1.3,0.78,-0.81,-0.23,0.64,1,89,87.8,0.63,0.28,-0.48,1," R"," ."," S11LFS4.3H14"
7,-0.48,2,578,1050,0.15,0.84,-1.87,0.71,-1.18,-0.07,0.67,1,90,87.8,0.63,0.27,-0.48,1," R"," ."," S11LFS4.3L7"
8,-0.42,2,578,1041,0.14,0.71,-3.77,0.35,-3.41,0.06,0.72,1,89.4,87.5,0.63,0.25,-0.42,1," R"," ."," S11PHS1.2L06"
9,-0.42,2,578,1034,0.14,0.89,-1.36,0.56,-1.99,0.2,0.69,1,86.6,87.5,0.63,0.28,-0.42,1," R"," ."," S11ESS3.1M13"
10,-0.34,2,578,1043,0.14,1.04,0.49,0.82,-0.71,-0.06,0.63,1,85,87,0.63,0.31,-0.34,1," R"," ."," S11PHS3.4H20"
11,-0.23,2,578,1034,0.14,0.93,-0.91,0.91,-0.34,0.01,0.65,1,89.2,86.3,0.63,0.3,-0.23,1," R"," ."," S11PHS3.4L6"
12,0.08,2,578,1016,0.13,0.79,-2.98,0.49,-3.18,0.02,0.7,1,86.7,84.6,0.63,0.3,0.08,1," R"," ."," S11ESS3.4M13"
13,0.08,2,578,997,0.13,1.17,2.2,1.12,0.63,0.34,0.62,1,83.1,84.6,0.63,0.36,0.08,1," R"," ."," S11PHS3.3H14"
