"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-2.01,2,496,453,0.24,0.77,-1.46,0.4,-1.51,-1.05,0.66,1,95.1,94.5,0.68,0.18,-2,1," R"," ."," E11LA2L04"
2,-2.01,2,496,438,0.24,1.06,0.43,2.82,2.76,0.04,0.67,1,93.9,94.5,0.68,0.22,-2,1," R"," ."," E11WR5L04"
3,-1.42,2,496,422,0.2,1.15,1.1,0.72,-0.6,0.18,0.68,1,91,92.6,0.68,0.26,-1.41,1," R"," ."," E11RL1L01"
4,-1.75,2,496,432,0.22,1.04,0.28,0.74,-0.48,0.08,0.69,1,93.2,93.8,0.68,0.23,-1.74,1," R"," ."," E11RL1M08"
5,-0.21,2,496,348,0.16,1.91,8.04,3.19,5.37,0.9,0.58,1,74.9,86.4,0.68,0.43,-0.21,1," R"," ."," E11RI1L03"
6,-1.24,2,496,427,0.2,0.8,-1.65,0.82,-0.32,-0.2,0.69,1,92.9,91.8,0.68,0.22,-1.23,1," R"," ."," E11WR4L01"
7,-0.2,2,496,376,0.16,1.48,4.68,1.92,2.81,0.3,0.6,1,82.2,86.4,0.68,0.38,-0.2,1," R"," ."," E11RI5L02"
8,-1.13,2,496,421,0.19,0.91,-0.76,0.66,-0.79,-0.07,0.69,1,91.5,91.3,0.68,0.25,-1.12,1," R"," ."," E11WR4L02"
9,-0.07,2,496,380,0.16,1.01,0.14,0.83,-0.66,0.07,0.69,1,84.4,85.7,0.68,0.32,-0.07,1," R"," ."," E11RL3H10"
10,0.22,2,496,381,0.15,0.91,-1.11,0.86,-0.6,-0.25,0.69,1,85.2,84.4,0.68,0.31,0.22,1," R"," ."," E11RI1M06"
11,0.45,2,496,366,0.14,1.16,1.94,1.38,1.78,-0.13,0.64,1,80,83.6,0.68,0.37,0.45,1," R"," ."," E11RI9M05"
12,-0.39,2,496,403,0.16,0.76,-2.71,0.52,-1.92,-0.22,0.72,1,90.8,87.4,0.68,0.26,-0.39,1," R"," ."," E11WR4M06"
13,0.59,2,496,360,0.14,1.09,1.12,1.2,1.05,-0.14,0.65,1,81.3,83.2,0.68,0.36,0.59,1," R"," ."," E11WR2L03"
14,-0.11,2,496,398,0.16,0.74,-3.17,0.46,-2.61,-0.36,0.72,1,89.5,85.9,0.68,0.27,-0.11,1," R"," ."," E11WR4M05"
15,-0.9,2,496,410,0.18,0.89,-1,0.51,-1.45,0.08,0.71,1,91.7,90.2,0.68,0.26,-0.89,1," R"," ."," E11RL1H09"
16,0.57,1,496,354,0.14,1.04,0.49,1.05,0.33,0,0.67,1,83.2,83.2,0.68,0.35,0.57,1," R"," ."," E11RI2M05"
17,-0.64,2,496,377,0.17,1.15,1.47,0.71,-0.86,0.71,0.74,1,84.9,88.8,0.68,0.31,-0.63,1," R"," ."," E11RL1H10"
18,1.42,1,496,308,0.13,0.81,-2.84,0.77,-1.46,0,0.71,1,85.6,80.1,0.67,0.34,1.42,1," R"," ."," E11WR4H09"
19,0.61,2,496,337,0.14,1.07,0.86,0.92,-0.35,0.29,0.69,1,81,83.1,0.68,0.36,0.61,1," R"," ."," E11RI4H10"
20,2.29,1,496,255,0.13,1.52,7.45,1.88,4.18,0,0.52,1,63.3,77.4,0.65,0.49,2.29,1," R"," ."," E11RL4M07"
21,0.63,2,496,366,0.14,0.94,-0.76,0.72,-1.61,-0.31,0.69,1,82.5,83,0.68,0.34,0.63,1," R"," ."," E11RI5M07"
22,2.02,1,496,272,0.13,1.28,4.14,1.43,2.29,0,0.59,1,71.5,78.1,0.65,0.44,2.02,1," R"," ."," E11LA1H09"
