"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PostHocDiscrim","Group","Model","ItemID"
1,-0.3,2,256,214,0.24,1.06,0.46,1,0.12,-0.33,0.65,1,85.5,86.8,0.94,1,"R ","E06RI5L01"
2,0.9,2,256,190,0.2,0.91,-0.77,0.87,-0.59,-0.26,0.71,1,86.6,82.2,1.1,1,"R ","E06RI5M06"
3,0.25,2,256,202,0.22,1.15,1.11,1,0.08,-0.19,0.67,1,80.6,84.9,0.91,1,"R ","E06RI5H09"
4,-0.09,2,256,212,0.23,0.82,-1.39,0.48,-2.05,-0.42,0.71,1,87.6,86.1,1.21,1,"R ","E06RL1L02"
5,-0.88,2,256,226,0.26,1.08,0.59,0.59,-0.92,-0.64,0.62,1,87.1,89.1,1,1,"R ","E06RL1M05"
6,-0.17,2,256,211,0.23,1.27,1.87,1.16,0.58,-0.27,0.62,1,80.6,86.4,0.78,1,"R ","E06RL1H09"
7,0.63,2,256,192,0.21,1.36,2.67,1.42,1.79,-0.09,0.62,1,76.3,83.4,0.64,1,"R ","E06RI3L02"
8,0.05,2,256,206,0.23,1.4,2.68,1.19,0.72,-0.2,0.61,1,78,85.6,0.69,1,"R ","E06RI3M06"
9,-0.72,2,256,217,0.25,1.14,0.94,0.98,0.1,-0.09,0.64,1,88.2,88.5,0.9,1,"R ","E06RI3H10"
10,-0.74,2,256,220,0.25,0.89,-0.74,0.52,-1.26,-0.29,0.68,1,88.7,88.6,1.14,1,"R ","E06WR4L01"
11,-0.1,2,256,210,0.23,0.71,-2.3,0.4,-2.48,-0.28,0.74,1,90.9,86.1,1.29,1,"R ","E06WR4M07"
12,1.25,2,256,177,0.2,1.01,0.09,0.98,-0.06,-0.08,0.7,1,80.6,80.6,1,1,"R ","E06WR4H09"
13,-0.75,2,256,212,0.25,0.75,-1.74,0.44,-1.53,0.26,0.75,1,91.9,88.7,1.22,1,"R ","E06WR9L04"
14,1.15,2,256,177,0.2,1.09,0.82,1.06,0.36,0.01,0.69,1,78.5,81.1,0.91,1,"R ","E06WR9M05"
15,0.44,2,256,193,0.22,0.87,-1,1.12,0.55,0.05,0.73,1,86,84.2,1.09,1,"R ","E06WR9H09"
16,-0.66,2,256,209,0.25,0.85,-1.01,0.64,-0.9,0.35,0.74,1,89.8,88.3,1.13,1,"R ","E06RI1L03"
17,0.18,2,256,197,0.22,0.97,-0.22,0.71,-1.15,0.12,0.73,1,84.9,85.2,1.07,1,"R ","E06RI1M05"
18,2.01,2,256,153,0.18,1.34,3.43,1.52,2.16,0.03,0.61,1,67.2,77.1,0.44,1,"R ","E06RI1H09"
19,-0.92,2,256,212,0.26,0.86,-0.89,0.68,-0.64,0.43,0.74,1,90.3,89.3,1.13,1,"R ","E06RL3L01"
20,-0.31,2,256,205,0.24,0.88,-0.84,0.65,-1.09,0.21,0.74,1,90.3,86.9,1.12,1,"R ","E06RL3M05"
21,0.07,2,256,199,0.23,1.1,0.77,0.98,0.02,0.14,0.69,1,81.7,85.5,0.93,1,"R ","E06RL3H09"
22,0.29,2,256,195,0.22,0.66,-2.93,0.4,-3.05,0.11,0.79,1,89.8,84.8,1.35,1,"R ","E06RI9L01"
23,-0.11,2,256,202,0.23,0.86,-1,0.79,-0.64,0.17,0.74,1,88.7,86.2,1.14,1,"R ","E06RI9M06"
24,-0.24,2,256,204,0.24,0.74,-2.03,0.49,-1.82,0.19,0.76,1,91.9,86.6,1.24,1,"R ","E06RI9H12"
25,1.59,2,256,165,0.19,1.16,1.53,1.09,0.52,0.03,0.67,1,75.3,79.1,0.81,1,"R ","E06RI8MSAMPLE"
26,-0.31,2,256,205,0.24,0.92,-0.53,1.08,0.34,0.21,0.72,1,89.2,86.9,1.04,1,"R ","E06RI8H12"
27,-0.17,2,256,203,0.23,0.92,-0.52,1.09,0.37,0.18,0.72,1,89.2,86.4,1.04,1,"R ","E06RL6L01"
28,0.73,2,256,186,0.21,1.02,0.21,0.94,-0.23,0.06,0.71,1,83.3,82.9,0.99,1,"R ","E06RL6M06"
29,0.24,2,256,196,0.22,0.98,-0.07,1.06,0.31,0.11,0.71,1,87.1,85,0.99,1,"R ","E06WR3L02"
30,-0.2,2,256,202,0.23,1.1,0.75,1.41,1.24,0.26,0.69,1,85.5,86.5,0.87,1,"R ","E06WR3H10"
31,1.28,2,256,173,0.2,1.22,1.98,1.35,1.72,0.04,0.65,1,77.4,80.5,0.71,1,"R ","E06LA1M05"
