"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PostHocDiscrim","Group","Model","ItemID"
1,-1.9,2,202,188,0.39,1,0.08,0.6,-0.27,-0.67,0.61,1,93.3,94.1,1.02,1,"R ","E05RF3L01"
2,-0.68,2,202,171,0.29,0.92,-0.41,0.56,-1.03,0.23,0.72,1,89.6,88.4,1.11,1,"R ","E05RF3M06"
3,0.44,2,202,155,0.24,1.69,4.31,2.31,3.74,0.17,0.54,1,72.4,82.3,0.15,1,"R ","E05RF3H11"
4,-1.24,2,202,178,0.33,0.85,-0.63,1.67,1.13,0.16,0.69,1,92.5,91.4,1.04,1,"R ","E05RL1L02"
5,-0.64,2,202,175,0.29,1.04,0.28,1.81,1.64,-0.16,0.63,1,89.6,88.2,0.88,1,"R ","E05RL1M05"
6,-0.8,2,202,180,0.3,0.85,-0.78,0.44,-1.35,-0.51,0.67,1,88.8,89.1,1.17,1,"R ","E05RL1H09"
7,-0.01,2,202,163,0.26,1.32,2.04,1.94,2.42,0.13,0.61,1,81.3,84.1,0.59,1,"R ","E05RI2L05"
8,-0.18,2,202,171,0.27,0.94,-0.34,0.69,-0.89,-0.27,0.68,1,84.3,85.2,1.1,1,"R ","E05RI2H15"
9,-1.22,2,202,180,0.33,0.72,-1.36,0.36,-1.25,-0.08,0.71,1,92.5,91.3,1.22,1,"R ","E05WR4L01"
10,-0.37,2,202,169,0.28,0.93,-0.43,0.65,-0.93,0.07,0.71,1,87.3,86.4,1.1,1,"R ","E05WR4M05"
11,0.62,2,202,155,0.24,0.6,-3.55,0.4,-3.09,-0.01,0.78,1,90.3,81.6,1.47,1,"R ","E05WR4H12"
12,-1.42,2,202,179,0.35,1.01,0.12,1.16,0.45,0.23,0.67,1,92.5,92.2,0.96,1,"R ","E05RL7L03"
13,-1.04,2,202,176,0.32,1.02,0.15,0.78,-0.26,0.16,0.68,1,90.3,90.4,1,1,"R ","E05RL7M05"
14,-0.47,2,202,170,0.28,0.87,-0.78,0.65,-0.87,0.1,0.72,1,87.3,87.1,1.14,1,"R ","E05RL7H10"
15,-1.56,2,202,181,0.36,0.96,-0.08,0.69,-0.25,0.14,0.68,1,94,92.9,1.03,1,"R ","E05LA2LSAMPLE"
16,0.56,2,202,156,0.24,0.92,-0.58,0.83,-0.64,-0.01,0.71,1,83.6,81.8,1.1,1,"R ","E05LA2M08"
17,-0.31,2,202,169,0.27,0.83,-1.06,0.75,-0.62,0.02,0.72,1,85.8,86.1,1.18,1,"R ","E05RI3L01"
18,0.62,2,202,155,0.24,1.09,0.69,1.12,0.55,-0.01,0.67,1,78.4,81.6,0.9,1,"R ","E05RI3M06"
19,0.44,2,202,158,0.24,1.24,1.7,1.06,0.31,-0.01,0.65,1,74.6,82.3,0.78,1,"R ","E05RI3H12"
20,0.38,2,202,159,0.25,0.73,-2.2,0.48,-2.35,-0.01,0.75,1,87.3,82.5,1.33,1,"R ","E05RL6L01"
21,0.68,2,202,154,0.24,0.92,-0.62,0.8,-0.8,-0.01,0.71,1,82.1,81.4,1.12,1,"R ","E05RL6M07"
22,1.01,2,202,148,0.23,1.21,1.64,1.12,0.57,-0.02,0.65,1,73.1,80,0.77,1,"R ","E05RL6H11"
23,0.5,2,202,157,0.24,1.02,0.19,0.91,-0.26,-0.01,0.69,1,79.9,82,1,1,"R ","E05WR1L03"
24,-0.09,2,202,166,0.26,0.96,-0.19,0.93,-0.1,0.01,0.69,1,83.6,84.6,1.04,1,"R ","E05WR1H10"
25,-0.08,2,202,165,0.26,0.96,-0.22,1.07,0.31,0.07,0.69,1,84.3,84.6,1.01,1,"R ","E05RF4MSAMPLE"
26,0.31,2,202,160,0.25,1.13,0.98,1.11,0.46,-0.01,0.66,1,79.1,82.7,0.88,1,"R ","E05RF4H11"
27,-0.24,2,202,168,0.27,0.83,-1.1,0.51,-1.55,0.01,0.72,1,86.6,85.6,1.2,1,"R ","E05WR3L01"
28,-0.31,2,202,169,0.27,1.02,0.2,1.01,0.16,0.02,0.68,1,84.3,86.1,0.99,1,"R ","E05WR3M06"
29,-0.16,2,202,167,0.27,1.03,0.24,0.89,-0.23,0.01,0.68,1,84.3,85.1,0.98,1,"R ","E05WR3H12"
