"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-1.31,2,524,961,0.18,1.18,1.5,1.25,0.78,0.17,0.65,1,90,91.8,0.66,0.28,-1.3,1," R"," ."," E06RI8L01"
2,2.2,2,524,793,0.11,1.4,6.85,2.72,7.8,-0.42,0.45,1,67.3,76,0.57,0.48,2.2,1," R"," ."," E06RL9H11"
3,-0.92,2,524,957,0.16,1.21,1.91,0.68,-1.09,-0.1,0.63,1,86.5,90.3,0.66,0.3,-0.91,1," R"," ."," E06RL3L01"
4,-0.88,2,524,954,0.16,0.88,-1.14,0.5,-1.99,-0.06,0.7,1,90,90.1,0.66,0.26,-0.87,1," R"," ."," E06RL1M05"
5,-0.79,2,524,950,0.16,0.89,-1.08,0.64,-1.34,-0.04,0.69,1,90,89.7,0.66,0.27,-0.78,1," R"," ."," E06WR4L03"
6,-0.74,2,524,948,0.16,0.9,-0.95,0.57,-1.71,-0.04,0.69,1,89.6,89.4,0.66,0.27,-0.73,1," R"," ."," E06WR4L01"
7,-0.17,2,524,917,0.14,1.18,2.04,1.5,2.01,0.07,0.61,1,82.7,86,0.65,0.35,-0.17,1," R"," ."," E06RL6L01"
8,-0.17,2,524,899,0.14,1.52,5.4,1.24,1.06,0.4,0.58,1,76.5,86,0.65,0.39,-0.17,1," R"," ."," E06RL1H09"
9,-0.15,2,524,898,0.14,0.97,-0.36,0.78,-1.01,0.4,0.71,1,83.7,85.9,0.65,0.32,-0.15,1," R"," ."," E06WR4M08"
10,-0.1,2,524,903,0.14,0.81,-2.51,0.58,-2.25,0.26,0.73,1,85.9,85.5,0.65,0.29,-0.1,1," R"," ."," E06WR4M07"
11,0.02,2,524,909,0.14,1.04,0.51,1.04,0.25,0.03,0.65,1,82.9,84.7,0.65,0.34,0.02,1," R"," ."," E06RI1L01"
12,0.6,2,524,865,0.12,1,0.09,0.92,-0.5,0.18,0.65,1,81,81.3,0.64,0.36,0.6,1," R"," ."," E06RL1H10"
13,0.62,2,524,886,0.12,1.02,0.31,1.04,0.29,-0.17,0.62,1,82,81.1,0.64,0.37,0.62,1," R"," ."," E06RL3M08"
14,0.65,2,524,890,0.12,1.02,0.26,1.13,0.84,-0.26,0.62,1,82.9,81,0.64,0.37,0.65,1," R"," ."," E06LA2H12"
15,0.66,2,524,839,0.12,0.9,-1.54,0.87,-0.84,0.49,0.69,1,83.5,80.9,0.64,0.35,0.66,1," R"," ."," E06WR4HSAMPLE"
16,-0.2,1,524,922,0.14,0.83,-2.06,1.22,0.98,0,0.69,1,88.6,86.2,0.66,0.29,-0.2,1," R"," ."," E06RI4H10"
17,0.73,2,524,873,0.12,0.87,-2.08,0.76,-1.74,-0.07,0.67,1,82.7,80.5,0.64,0.34,0.73,1," R"," ."," E06RL6M06"
18,0.41,1,524,888,0.13,0.72,-4.41,0.6,-2.69,0,0.72,1,89.2,82.3,0.64,0.3,0.42,1," R"," ."," E06WR4M05"
19,0.87,2,524,864,0.12,1.18,2.8,1.17,1.16,-0.08,0.58,1,75.5,79.7,0.63,0.41,0.87,1," R"," ."," E06WR1M07"
20,1.97,1,524,776,0.11,1.2,3.56,1.33,2.14,0,0.52,1,73.3,76.3,0.59,0.44,1.97,1," R"," ."," E06RL4H12"
21,0.93,2,524,878,0.12,0.83,-3.02,0.64,-2.89,-0.35,0.68,1,83.3,79.4,0.63,0.34,0.93,1," R"," ."," E06LA4M06"
22,2.29,1,524,751,0.11,1.02,0.42,0.96,-0.18,0,0.56,1,75.5,75.9,0.57,0.41,2.29,1," R"," ."," E06LA1H10"
23,1.91,2,524,824,0.11,1.05,0.98,0.94,-0.38,-0.54,0.6,1,74.3,76.5,0.59,0.41,1.91,1," R"," ."," E06RI4M07"
24,2.44,1,524,739,0.11,1.12,2.31,1.16,0.97,0,0.52,1,71.4,75.9,0.56,0.43,2.44,1," R"," ."," E06RL2H10"
25,1.28,2,524,812,0.12,1.12,1.96,1.01,0.12,0.23,0.59,1,75.7,78,0.62,0.41,1.28,1," R"," ."," E06LA4H12"
26,1.56,1,524,808,0.11,0.96,-0.79,0.82,-1.47,0,0.62,1,77.1,77.2,0.61,0.39,1.56,1," R"," ."," E06RI2H12"
27,1.52,2,524,805,0.11,1.12,2.06,1.04,0.35,0.08,0.57,1,73.7,77.3,0.61,0.42,1.52,1," R"," ."," E06RI2H13"
28,1.61,1,524,804,0.11,1.36,6,1.52,3.44,0,0.49,1,68,77.1,0.6,0.46,1.61,1," R"," ."," E06WR9H10"
29,1.01,2,524,849,0.12,0.98,-0.28,0.97,-0.2,0,0.63,1,78.8,79.1,0.63,0.38,1.01,1," R"," ."," E06RI8H09"
30,0.37,1,524,891,0.13,0.79,-3.27,0.66,-2.21,0,0.71,1,87.3,82.6,0.64,0.31,0.37,1," R"," ."," E06RL3H10"
31,2.55,2,524,754,0.11,0.91,-1.78,0.76,-1.52,-0.28,0.61,1,78.4,76,0.55,0.38,2.55,1," R"," ."," E06WR4H13"
32,1.11,1,524,842,0.12,1.03,0.52,0.84,-1.24,0,0.62,1,76.3,78.7,0.62,0.39,1.11,1," R"," ."," E06RI2H14"
33,1.09,2,524,909,0.12,0.78,-4.03,0.57,-3.73,-1.02,0.71,1,83.1,78.7,0.62,0.34,1.09,1," R"," ."," E06WR2M06"
34,0.99,1,524,850,0.12,1.2,3.21,1.22,1.52,0,0.57,1,74.9,79.1,0.63,0.42,0.99,1," R"," ."," E06RL3HSAMPLE"
35,1.09,2,524,850,0.12,0.96,-0.6,0.78,-1.75,-0.09,0.64,1,78.8,78.7,0.62,0.38,1.09,1," R"," ."," E06RL2H12"
36,2.38,1,524,744,0.11,1.07,1.28,1.04,0.32,0,0.54,1,74.1,75.9,0.56,0.42,2.38,1," R"," ."," E06WR5H09"
37,1.12,2,524,819,0.12,1.09,1.45,1.09,0.69,0.3,0.6,1,76.5,78.6,0.62,0.4,1.12,1," R"," ."," E06RL4H09"
38,2.21,1,524,757,0.11,1.16,3.01,1.15,0.96,0,0.52,1,71.4,76,0.57,0.43,2.21,1," R"," ."," E06RI4M08"
39,1.15,2,524,825,0.12,1.18,2.89,1.11,0.84,0.19,0.58,1,74.1,78.5,0.62,0.42,1.15,1," R"," ."," E06WR9M05"
40,1.25,2,524,796,0.12,0.91,-1.6,0.93,-0.47,0.47,0.65,1,81.8,78.2,0.62,0.37,1.25,1," R"," ."," E06WR4H09"
41,1.28,2,524,845,0.12,1.03,0.53,0.89,-0.82,-0.21,0.61,1,76.7,78,0.62,0.39,1.28,1," R"," ."," E06LA1M05"
42,1.37,2,524,816,0.12,0.98,-0.31,0.91,-0.65,0.09,0.62,1,78.4,77.8,0.61,0.39,1.37,1," R"," ."," E06WR1M05"
43,1.45,2,524,788,0.11,0.85,-2.76,0.68,-2.75,0.37,0.66,1,81.2,77.5,0.61,0.36,1.45,1," R"," ."," E06WR2H12"
44,1.47,2,524,804,0.11,0.98,-0.43,0.94,-0.4,0.14,0.62,1,78.4,77.5,0.61,0.39,1.47,1," R"," ."," E06RI6H10"
45,1.59,2,524,828,0.11,0.99,-0.18,0.91,-0.63,-0.28,0.61,1,77.1,77.1,0.6,0.39,1.59,1," R"," ."," E06RI8MSAMPLE"
46,1.68,2,524,806,0.11,0.99,-0.17,0.85,-1.18,-0.09,0.61,1,76.1,77,0.6,0.4,1.68,1," R"," ."," E06RI4H11"
47,1.88,2,524,764,0.11,0.9,-2,0.76,-1.87,0.24,0.62,1,79.6,76.5,0.59,0.38,1.88,1," R"," ."," E06RI1H12"
48,2.01,2,524,769,0.11,1.1,1.91,1.03,0.24,0.05,0.55,1,73.1,76.2,0.58,0.42,2.01,1," R"," ."," E06RI1H09"
