"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PostHocDiscrim","Group","Model","ItemID"
1,-2.73,2,237,223,0.34,0.9,-0.35,0.55,-0.48,-0.19,0.48,1,93.7,93.8,1.08,1,"R ","E03RF3L02"
2,0.21,2,237,179,0.2,1.23,1.96,1.36,1.68,-0.29,0.58,1,74.7,80.6,0.71,1,"R ","E03RF3M08"
3,0.25,2,237,171,0.2,1.38,3.13,1.64,2.78,0,0.57,1,72.4,80.4,0.5,1,"R ","E03RF3H10"
4,0.04,2,237,181,0.21,1.63,4.8,1.92,3.49,-0.21,0.47,1,66.1,81.1,0.22,1,"R ","E03RL1L03"
5,-0.42,2,237,192,0.22,1.04,0.35,1.24,0.92,-0.27,0.59,1,82.2,82.5,0.93,1,"R ","E03RL1M05"
6,1.2,2,237,143,0.19,1.41,3.83,1.51,2.44,0.12,0.59,1,64.4,77.4,0.39,1,"R ","E03RL1H10"
7,-1.69,2,237,209,0.26,0.89,-0.7,0.5,-1.03,0.05,0.59,1,89.1,88.2,1.14,1,"R ","E03RI2L03"
8,-0.9,2,237,200,0.23,1,0.08,1.01,0.15,-0.21,0.58,1,83.3,84.2,1.01,1,"R ","E03RI2M06"
9,-0.84,2,237,201,0.23,1.05,0.41,0.77,-0.65,-0.33,0.57,1,82.8,84,1,1,"R ","E03RI2HSAMPLE"
10,-1.31,2,237,206,0.24,0.77,-1.86,0.37,-1.87,-0.15,0.63,1,88.5,86.1,1.28,1,"R ","E03WR4L02"
11,-0.66,2,237,196,0.22,0.77,-2.06,0.47,-2.14,-0.23,0.66,1,86.8,83.2,1.29,1,"R ","E03WR4M06"
12,0.59,2,237,160,0.2,0.9,-1,0.93,-0.34,0.09,0.71,1,80.5,79.3,1.12,1,"R ","E03WR4H09"
13,-1.52,2,237,211,0.25,0.83,-1.26,0.38,-1.63,-0.28,0.58,1,87.9,87.2,1.22,1,"R ","E03WR2L03"
14,-0.65,2,237,195,0.22,1.22,1.76,1.05,0.28,-0.19,0.55,1,79.3,83.2,0.79,1,"R ","E03WR2M06"
15,-0.02,2,237,177,0.21,1.16,1.39,1.52,2.14,0.02,0.61,1,78.7,81.2,0.75,1,"R ","E03WR2H10"
16,-1.64,2,237,208,0.26,1,0.02,0.52,-1.01,0.06,0.58,1,85.1,87.8,1.07,1,"R ","E03LA2LSAMPLE"
17,-0.69,2,237,190,0.22,0.92,-0.66,1.01,0.14,0.1,0.65,1,85.6,83.3,1.08,1,"R ","E03LA2M06"
18,0.25,2,237,170,0.2,0.85,-1.42,0.76,-1.29,0.04,0.71,1,83.3,80.4,1.19,1,"R ","E03RF4M08"
19,0.78,2,237,157,0.2,1.19,1.77,1.11,0.68,0.03,0.65,1,73.6,78.6,0.78,1,"R ","E03RF4H09"
20,-0.4,2,237,184,0.21,0.95,-0.37,1.13,0.55,0.1,0.65,1,84.5,82.4,1.02,1,"R ","E03RL7H10"
21,-0.73,2,237,191,0.22,0.76,-2.13,0.48,-2.03,0.1,0.7,1,86.2,83.5,1.29,1,"R ","E03RI1L02"
22,-1.22,2,237,198,0.24,0.98,-0.08,0.75,-0.55,0.24,0.63,1,86.2,85.7,1.03,1,"R ","E03WR1L02"
23,-0.88,2,237,192,0.23,0.87,-1.09,0.56,-1.45,0.21,0.68,1,87.9,84.1,1.18,1,"R ","E03WR1M07"
24,0.3,2,237,168,0.2,0.96,-0.35,0.8,-1.04,0.07,0.7,1,80.5,80.3,1.08,1,"R ","E03WR1H11"
25,-0.54,2,237,187,0.22,0.79,-1.84,0.55,-1.83,0.1,0.7,1,86.8,82.8,1.26,1,"R ","E03RI6L01"
26,-0.01,2,237,175,0.21,0.84,-1.48,0.74,-1.22,0.1,0.71,1,85.6,81.2,1.2,1,"R ","E03RI6M06"
27,0.26,2,237,169,0.2,0.84,-1.55,0.7,-1.65,0.08,0.72,1,82.8,80.4,1.22,1,"R ","E03RL9M08"
28,0.08,2,237,173,0.21,0.82,-1.73,0.61,-2.1,0.09,0.72,1,84.5,80.9,1.26,1,"R ","E03RL9H11"
29,0.88,2,237,154,0.19,1.06,0.66,1.15,0.89,0.04,0.67,1,79.3,78.4,0.88,1,"R ","E03RL2M07"
30,-0.71,2,237,189,0.22,0.91,-0.69,0.84,-0.45,0.18,0.66,1,85.1,83.4,1.09,1,"R ","E03RI3L02"
31,-0.76,2,237,190,0.22,0.78,-1.91,0.63,-1.28,0.18,0.69,1,87.9,83.6,1.24,1,"R ","E03RI3M07"
1,-2.9,2,247,227,0.45,0.58,-1.45,0.1,-1.66,-0.33,0.74,1,97.1,96.4,1.24,1,"R ","E03RL7L01"
2,-2.28,2,247,223,0.39,0.76,-0.85,0.22,-1.3,-0.16,0.75,1,96,95.2,1.17,1,"R ","E03RL7M05"
3,-1.63,2,247,222,0.33,0.57,-2.21,0.27,-1.48,-0.64,0.75,1,97.1,93.2,1.26,1,"R ","E03RL7H09"
4,-2.15,2,247,221,0.37,1.03,0.21,1.32,0.63,0.01,0.72,1,93.7,94.9,0.99,1,"R ","E03RF3L01"
5,0.55,2,247,183,0.21,1.52,4.04,2.08,3.53,-0.02,0.58,1,69,81.3,0.32,1,"R ","E03RF3M05"
6,0.12,2,247,192,0.22,1.19,1.42,1.08,0.38,0,0.67,1,79.3,84.3,0.83,1,"R ","E03RF3H09"
13,-0.45,2,247,203,0.25,1.09,0.62,0.86,-0.32,-0.05,0.7,1,86.8,87.7,0.95,1,"R ","E03WR3L01"
14,-0.99,2,247,211,0.28,0.91,-0.42,0.43,-1.44,-0.09,0.74,1,90.2,90.5,1.12,1,"R ","E03WR3M05"
15,0.3,2,247,188,0.22,0.94,-0.42,0.82,-0.68,0.01,0.71,1,83.3,83.1,1.09,1,"R ","E03WR3H10"
16,-0.76,2,247,207,0.27,0.79,-1.29,0.62,-0.96,-0.01,0.75,1,90.8,89.3,1.16,1,"R ","E03RI3L01"
17,0.6,2,247,181,0.21,1.07,0.67,1.08,0.39,0.02,0.68,1,78.2,81,0.92,1,"R ","E03RI3M05"
18,-0.31,2,247,200,0.24,0.65,-2.69,0.69,-0.97,-0.01,0.76,1,92,86.9,1.29,1,"R ","E03RI3H09"
19,0.55,2,247,182,0.21,1.01,0.11,0.95,-0.12,0.03,0.69,1,82.2,81.4,1,1,"R ","E03RF4M06"
20,0.63,2,247,180,0.21,1.13,1.18,1.13,0.61,0.03,0.67,1,78.2,80.8,0.85,1,"R ","E03RF4H10"
21,-0.95,2,247,208,0.28,0.66,-2.07,0.3,-2.06,0.1,0.78,1,93.1,90.3,1.27,1,"R ","E03RL1L01"
22,-0.06,2,247,195,0.23,0.98,-0.09,0.72,-0.97,0.02,0.71,1,84.5,85.4,1.06,1,"R ","E03RL1M06"
23,0.59,2,247,181,0.21,0.96,-0.29,0.87,-0.49,0.03,0.7,1,80.5,81.1,1.06,1,"R ","E03RL1H09"
24,0.99,2,247,171,0.2,1.16,1.54,1.09,0.46,0.04,0.65,1,75.9,78.6,0.8,1,"R ","E03LA3M06"
25,0.61,2,247,180,0.21,1.11,0.96,1.33,1.33,0.06,0.66,1,82.2,81,0.83,1,"R ","E03WR5M06"
26,1.48,2,247,157,0.19,1.18,1.87,1.17,0.75,0.06,0.64,1,71.3,76.4,0.71,1,"R ","E03WR5H10"
27,-0.21,2,247,197,0.24,0.71,-2.24,0.46,-2.1,0.06,0.76,1,90.8,86.3,1.28,1,"R ","E03RI6L02"
28,1.05,2,247,169,0.2,1.1,1.01,1.08,0.43,0.05,0.66,1,75.9,78.2,0.86,1,"R ","E03RI6M07"
29,0.62,2,247,180,0.21,0.96,-0.35,0.96,-0.08,0.05,0.7,1,81.6,80.9,1.05,1,"R ","E03RI6H10"
30,1.09,2,247,168,0.2,1,0.02,0.8,-0.83,0.05,0.69,1,75.3,78,1.06,1,"R ","E03LA1H12"
31,-0.73,2,247,205,0.27,0.85,-0.88,0.77,-0.48,0.09,0.74,1,90.8,89.2,1.11,1,"R ","E03RL3L02"
32,-0.33,2,247,199,0.24,0.72,-2.04,0.44,-2.04,0.07,0.76,1,90.2,87,1.26,1,"R ","E03RL3M08"
33,1.23,2,247,164,0.19,1.32,3.08,1.45,1.73,0.05,0.61,1,69.5,77.3,0.49,1,"R ","E03RL3H11"
34,-0.89,2,247,207,0.27,0.84,-0.87,0.41,-1.65,0.11,0.76,1,90.2,90,1.17,1,"R ","E03RI8L01"
35,-0.21,2,247,197,0.24,0.91,-0.61,0.88,-0.28,0.06,0.72,1,87.4,86.3,1.08,1,"R ","E03RI8M07"
36,0.01,2,247,193,0.23,0.79,-1.62,0.56,-1.75,0.05,0.75,1,89.1,85,1.22,1,"R ","E03RI8H11"
7,-1.14,2,235,206,0.25,0.88,-0.72,0.62,-0.81,-0.22,0.57,1,91.6,89.5,1.1,1,"R ","E03RI1L01"
8,0.01,2,235,177,0.2,0.87,-1.37,0.71,-1.18,0.06,0.65,1,86.1,81.6,1.18,1,"R ","E03RI1M06"
9,1.62,2,235,128,0.18,1.54,5.31,1.79,3.3,0.07,0.47,1,61.9,77,0.16,1,"R ","E03RI1H09"
10,-1.57,2,235,211,0.28,0.73,-1.54,0.3,-1.55,-0.16,0.62,1,93.1,91.8,1.23,1,"R ","E03WR4L03"
11,-0.55,2,235,195,0.22,0.7,-2.74,0.42,-2.1,-0.17,0.65,1,90.6,85.4,1.32,1,"R ","E03WR4M07"
12,1.39,2,235,141,0.18,0.71,-3.65,0.56,-2.63,-0.11,0.72,1,84.7,76.9,1.47,1,"R ","E03WR4H10"
13,0.94,2,235,153,0.18,1.21,2.28,1.33,1.62,-0.04,0.56,1,69.3,77.3,0.67,1,"R ","E03WR5M05"
14,0.28,2,235,172,0.19,1.09,0.95,0.9,-0.36,-0.02,0.59,1,74.8,80,0.93,1,"R ","E03WR5H09"
15,-0.6,2,235,192,0.22,0.95,-0.35,1.07,0.31,0.03,0.6,1,84.7,85.8,1.04,1,"R ","E03RL2L01"
16,0.41,2,235,167,0.19,1,0.08,1.14,0.67,0.03,0.61,1,79.7,79.3,0.96,1,"R ","E03RL2M05"
17,-0.07,2,235,181,0.2,0.82,-1.86,0.57,-1.79,-0.02,0.66,1,86.1,82.1,1.25,1,"R ","E03RL2H10"
18,0.31,2,235,170,0.19,1.06,0.67,0.98,-0.02,0.01,0.6,1,77.7,79.8,0.94,1,"R ","E03RF4MSAMPLE"
