"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-1.11,2,510,957,0.18,0.89,-0.87,0.4,-1.99,-0.26,0.65,1,93.2,92.2,0.64,0.23,-1.1,1," R"," ."," E07RI3LSAMPLE"
2,-1,2,510,943,0.18,0.99,-0.03,1.46,1.23,0.12,0.65,1,91.5,91.8,0.64,0.25,-0.99,1," R"," ."," E07WR4L01"
3,-0.88,2,510,950,0.18,1.1,0.85,0.99,0.07,-0.24,0.6,1,90.1,91.3,0.64,0.27,-0.87,1," R"," ."," E07LA1L02"
4,-0.82,2,510,935,0.17,1.18,1.56,1.13,0.49,0.17,0.63,1,88.6,91,0.64,0.29,-0.81,1," R"," ."," E07RI5M06"
5,-0.7,2,510,919,0.17,1.37,3.16,0.88,-0.28,0.46,0.63,1,85.1,90.5,0.64,0.32,-0.69,1," R"," ."," E07WR9L01"
6,-0.46,2,510,941,0.16,0.76,-2.59,0.5,-1.94,-0.37,0.68,1,91.3,89.2,0.64,0.25,-0.45,1," R"," ."," E07WR4L03"
7,-0.05,2,510,909,0.15,0.87,-1.58,0.62,-1.68,0.03,0.69,1,87,86.8,0.64,0.29,-0.05,1," R"," ."," E07WR4M06"
8,0.02,2,510,894,0.15,1.1,1.14,0.89,-0.41,0.26,0.66,1,82.8,86.4,0.64,0.33,0.02,1," R"," ."," E07RL1H09"
9,0.05,2,510,907,0.14,0.79,-2.7,0.54,-2.28,-0.03,0.7,1,88,86.2,0.64,0.28,0.05,1," R"," ."," E07WR4M08"
10,0.2,2,510,890,0.14,1,0.03,0.84,-0.68,0.16,0.66,1,85.1,85.3,0.64,0.32,0.2,1," R"," ."," E07RI1L02"
11,0.26,2,510,891,0.14,0.87,-1.66,0.56,-2.37,0.08,0.69,1,86.3,84.9,0.64,0.31,0.26,1," R"," ."," E07RL1H11"
12,0.47,2,510,870,0.13,0.99,-0.13,0.72,-1.53,0.24,0.67,1,83.6,83.7,0.64,0.34,0.47,1," R"," ."," E07RI1H11"
13,0.68,2,510,872,0.13,0.88,-1.8,0.68,-2.02,0,0.68,1,83.9,82.6,0.64,0.33,0.68,1," R"," ."," E07RL1H10"
14,0.74,2,510,861,0.13,1.05,0.7,1.13,0.81,0.12,0.63,1,82,82.3,0.63,0.36,0.74,1," R"," ."," E07RI1H12"
15,2.1,2,510,805,0.11,1.04,0.67,0.98,-0.13,-0.4,0.6,1,76.4,77.2,0.6,0.4,2.1,1," R"," ."," E07RI5H10"
16,1.97,1,510,784,0.12,0.76,-4.68,0.63,-3.28,0,0.68,1,82.8,77.5,0.6,0.34,1.97,1," R"," ."," E07WR4HSAMPLE"
