"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-2.73,2,607,1166,0.2,0.87,-0.96,0.43,-1.89,-0.52,0.57,1,95,94.2,0.59,0.2,-2.72,1," R"," ."," E03RF3L02"
2,-2.44,2,607,1150,0.18,1.08,0.68,0.57,-1.38,-0.11,0.58,1,92,93.2,0.59,0.24,-2.43,1," R"," ."," E03RF4L01"
3,-1.69,2,607,1118,0.15,1.15,1.46,0.9,-0.3,0.03,0.57,1,88.9,90.1,0.6,0.3,-1.68,1," R"," ."," E03RI2L03"
4,-1.6,2,607,1153,0.15,0.64,-4.26,0.44,-2.66,-1.09,0.61,1,93.4,89.7,0.6,0.23,-1.59,1," R"," ."," E03RL7L03"
5,-1.57,2,607,1119,0.15,0.87,-1.35,0.55,-2.01,-0.12,0.63,1,89.6,89.5,0.6,0.27,-1.56,1," R"," ."," E03WR4L03"
6,-1.31,2,607,1112,0.14,0.84,-1.91,0.54,-2.32,-0.22,0.63,1,89.1,88.1,0.6,0.28,-1.31,1," R"," ."," E03WR4L02"
7,-0.66,2,607,1059,0.12,0.82,-2.75,0.55,-2.98,0.04,0.66,1,84.2,83.8,0.59,0.31,-0.66,1," R"," ."," E03WR4M06"
8,-0.55,2,607,1044,0.12,0.82,-2.83,0.58,-2.87,0.13,0.67,1,83.7,82.9,0.59,0.32,-0.55,1," R"," ."," E03WR4M07"
9,-0.45,2,607,1065,0.12,1.09,1.43,1.12,0.75,-0.26,0.53,1,80.9,82.1,0.59,0.37,-0.45,1," R"," ."," E03WR3L01"
10,-0.31,2,607,1043,0.11,0.9,-1.75,0.76,-1.72,-0.09,0.62,1,83.2,81,0.59,0.35,-0.31,1," R"," ."," E03WR2M08"
11,-0.29,2,607,1030,0.11,0.94,-0.93,0.81,-1.34,0.06,0.62,1,81.3,80.8,0.59,0.36,-0.29,1," R"," ."," E03RL1L02"
12,-0.06,2,607,1027,0.11,0.9,-1.81,0.75,-2.04,-0.13,0.61,1,80.2,79,0.58,0.36,-0.06,1," R"," ."," E03RL1M06"
13,0.54,2,607,909,0.1,0.88,-2.59,0.78,-2.14,0.55,0.64,1,79.5,75.5,0.57,0.38,0.54,1," R"," ."," E03WR4HSAMPLE"
14,0.59,2,607,924,0.1,0.8,-4.71,0.68,-3.26,0.35,0.65,1,82.5,75.3,0.57,0.36,0.59,1," R"," ."," E03WR4H09"
15,0.61,2,607,956,0.1,0.87,-2.95,0.73,-2.67,0,0.62,1,80.4,75.2,0.57,0.38,0.61,1," R"," ."," E03WR5M06"
16,0.81,1,607,936,0.1,1,0.09,1.02,0.18,0,0.56,1,74.4,74.7,0.56,0.41,0.81,1," R"," ."," E03WR5H12"
