"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-1.16,2,608,535,0.18,0.94,-0.42,0.41,-2.02,-0.46,0.67,1,92.9,93.2,0.67,0.23,-1.15,1," R"," ."," E08LA3L01"
2,-0.72,2,608,540,0.16,0.79,-1.98,0.59,-1.43,-1.14,0.65,1,92.4,91.5,0.67,0.23,-0.71,1," R"," ."," E08LA1L04"
3,-0.43,2,608,473,0.15,1.16,1.54,1.34,1.14,0.5,0.7,1,86.6,90,0.67,0.3,-0.42,1," R"," ."," E08RL2L01"
4,-0.33,2,608,485,0.15,1.3,2.9,2,2.79,0.16,0.6,1,86.2,89.5,0.67,0.32,-0.32,1," R"," ."," E08RL1L02"
5,-0.53,2,608,512,0.16,0.72,-3.07,0.71,-0.98,-0.3,0.71,1,93.3,90.6,0.67,0.23,-0.52,1," R"," ."," E08WR4L01"
6,-0.49,2,608,506,0.16,0.75,-2.72,0.45,-2.2,-0.17,0.72,1,92.6,90.4,0.67,0.24,-0.48,1," R"," ."," E08WR4L02"
7,0.64,2,608,445,0.12,0.9,-1.51,0.83,-0.98,-0.09,0.67,1,85.5,83.3,0.65,0.33,0.64,1," R"," ."," E08WR2L02"
8,0.87,2,608,417,0.12,1,0.07,0.94,-0.31,0.1,0.65,1,82.2,81.9,0.65,0.36,0.87,1," R"," ."," E08RI1M06"
9,1.14,2,608,360,0.12,1.57,8.12,2.17,6.22,0.56,0.51,1,69,80.5,0.64,0.46,1.14,1," R"," ."," E08RI5H12"
10,0.16,2,608,461,0.14,0.85,-1.96,0.92,-0.28,0.13,0.71,1,87.3,86.4,0.66,0.29,0.16,1," R"," ."," E08WR4M08"
11,0.34,2,608,458,0.13,0.81,-2.68,0.6,-2.24,0,0.71,1,87,85.2,0.66,0.29,0.34,1," R"," ."," E08WR4M07"
12,1.46,2,608,399,0.11,1.18,3.05,1.55,3.71,-0.24,0.57,1,74.5,79.1,0.63,0.41,1.46,1," R"," ."," E08RI3L02"
13,1.23,2,608,409,0.11,1.31,4.85,1.45,2.9,-0.15,0.55,1,73,80.1,0.64,0.42,1.23,1," R"," ."," E08RI4M05"
14,1.59,2,608,391,0.11,0.94,-1.16,0.81,-1.54,-0.27,0.65,1,79.9,78.6,0.63,0.37,1.59,1," R"," ."," E08WR1H12"
15,1.65,2,608,400,0.11,1.15,2.56,1.19,1.49,-0.45,0.58,1,73.6,78.4,0.63,0.41,1.65,1," R"," ."," E08WR9M05"
