"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PostHocDiscrim","Group","Model","ItemID"
1,2.25,2,178,104,0.2,1.46,4.23,1.73,3.2,-0.33,0.49,1,62.5,75.9,0.2,1,"R ","E08RI3L03"
2,0.92,2,178,130,0.22,1.49,3.69,1.66,2.27,-0.18,0.49,1,69.7,81.1,0.39,1,"R ","E08RI3M07"
3,1.88,2,178,103,0.2,1.34,3.13,1.74,3.32,0.08,0.52,1,68.4,76.9,0.4,1,"R ","E08RI3H12"
4,0.45,2,178,134,0.24,1.16,1.21,1.07,0.33,0.07,0.61,1,80.9,83.4,0.85,1,"R ","E08RL1L01"
5,1.5,2,178,117,0.21,1.38,3.24,1.59,2.57,-0.14,0.52,1,65.8,78.2,0.45,1,"R ","E08RL1M05"
6,0.31,2,178,142,0.24,1.06,0.47,0.82,-0.44,-0.27,0.6,1,83.6,84.3,0.97,1,"R ","E08RL1H09"
7,-0.12,2,178,146,0.26,1.26,1.59,1.07,0.31,-0.1,0.57,1,81.6,86.8,0.79,1,"R ","E08RI5L01"
8,0.31,2,178,140,0.24,0.83,-1.29,0.48,-1.76,-0.14,0.68,1,84.9,84.3,1.23,1,"R ","E08RI5M06"
9,0.85,2,178,135,0.22,0.84,-1.34,0.61,-1.66,-0.39,0.66,1,84.9,81.4,1.23,1,"R ","E08RI5H09"
10,-0.53,2,178,150,0.29,0.77,-1.39,0.35,-1.49,0,0.7,1,92.8,89.3,1.23,1,"R ","E08WR4L01"
11,0.34,2,178,137,0.24,0.79,-1.65,0.47,-1.83,0.02,0.7,1,86.8,84.1,1.26,1,"R ","E08WR4M07"
12,1.43,2,178,117,0.21,0.83,-1.62,0.69,-1.65,-0.07,0.68,1,81.6,78.5,1.26,1,"R ","E08WR4HSAMPLE"
13,-0.25,2,178,148,0.27,0.85,-0.95,0.43,-1.43,-0.12,0.67,1,88.2,87.6,1.19,1,"R ","E08RL4LSAMPLE"
14,0.21,2,178,141,0.25,1.28,1.87,1.62,1.56,-0.1,0.55,1,82.9,84.8,0.69,1,"R ","E08RL4M06"
15,1.13,2,178,123,0.22,1.08,0.75,1.06,0.32,-0.04,0.61,1,78.3,80,0.91,1,"R ","E08RL4H10"
16,-0.72,2,178,151,0.3,0.9,-0.47,0.84,-0.1,0.11,0.66,1,90.8,90.4,1.06,1,"R ","E08LA1L04"
17,0.99,2,178,125,0.22,0.99,-0.03,1.03,0.22,0,0.64,1,83.6,80.7,1.01,1,"R ","E08LA1MSAMPLE"
18,0,2,178,142,0.26,1.03,0.25,1.19,0.59,0.05,0.62,1,87.5,86,0.92,1,"R ","E08LA1H11"
19,0.98,2,178,124,0.22,1.17,1.42,1.55,1.98,0.06,0.58,1,78.9,80.7,0.72,1,"R ","E08WR1L04"
20,1.03,2,178,124,0.22,0.9,-0.9,0.94,-0.16,0.01,0.66,1,82.9,80.5,1.12,1,"R ","E08WR1M05"
21,1.59,2,178,111,0.21,0.86,-1.37,0.72,-1.52,0.03,0.68,1,82.9,77.9,1.22,1,"R ","E08WR1H12"
22,0.59,2,178,131,0.23,0.76,-2.04,0.99,0.05,0.09,0.7,1,87.5,82.6,1.23,1,"R ","E08RI1L02"
23,0.83,2,178,126,0.22,0.99,-0.01,0.83,-0.58,0.11,0.65,1,80.3,81.5,1.04,1,"R ","E08RI1MSAMPLE"
24,1.17,2,178,120,0.22,0.85,-1.37,0.65,-1.7,0.05,0.69,1,81.6,79.7,1.23,1,"R ","E08RL3L01"
25,0.01,2,178,139,0.26,0.95,-0.33,0.89,-0.14,0.23,0.67,1,88.2,86,1.03,1,"R ","E08RL3M05"
26,0.48,2,178,133,0.24,0.82,-1.45,0.61,-1.33,0.11,0.7,1,85.5,83.3,1.21,1,"R ","E08RL3H09"
27,0.41,2,178,134,0.24,1.08,0.65,1.35,1.07,0.11,0.62,1,82.2,83.7,0.89,1,"R ","E08RI6M06"
28,0.46,2,178,133,0.24,1.02,0.18,1.19,0.66,0.13,0.64,1,84.2,83.4,0.97,1,"R ","E08RI6H12"
29,2.09,2,178,99,0.2,1.04,0.42,1,0.07,0.03,0.62,1,74.3,76.4,0.95,1,"R ","E08WR5M07"
30,0.39,2,178,134,0.24,0.82,-1.38,0.64,-1.15,0.13,0.7,1,86.2,83.8,1.2,1,"R ","E08WR5H09"
