"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-2.51,2,583,1102,0.21,1.25,1.65,0.68,-0.81,0.18,0.62,1,92.6,94.6,0.63,0.23,-2.5,1," R"," ."," E04RF3L01"
2,-2.51,2,583,1113,0.21,0.82,-1.29,0.36,-2.08,-0.33,0.64,1,95.7,94.6,0.63,0.19,-2.5,1," R"," ."," E04RF3L02"
3,-1.41,2,583,1103,0.16,0.72,-2.95,0.81,-0.54,-1,0.62,1,92.6,90.6,0.63,0.23,-1.4,1," R"," ."," E04RL3L04"
4,-1.29,2,583,1067,0.15,0.87,-1.36,1.08,0.36,0,0.67,1,90.4,90.1,0.63,0.26,-1.28,1," R"," ."," E04WR4L02"
5,-1.01,2,583,1066,0.14,0.85,-1.76,0.49,-2.29,-0.26,0.65,1,90.3,88.6,0.63,0.27,-1.01,1," R"," ."," E04RI1L04"
6,-0.81,2,583,1059,0.14,0.8,-2.53,0.5,-2.39,-0.31,0.66,1,88.6,87.4,0.63,0.28,-0.81,1," R"," ."," E04WR4L03"
7,-0.62,2,583,1012,0.13,0.9,-1.29,0.56,-2.17,0.35,0.7,1,85.2,86.1,0.62,0.3,-0.62,1," R"," ."," E04WR4M08"
8,-0.37,2,583,1011,0.13,0.82,-2.65,0.56,-2.52,0.12,0.69,1,85.6,84.2,0.62,0.31,-0.37,1," R"," ."," E04WR4M05"
9,-0.32,2,583,1007,0.13,0.97,-0.43,0.72,-1.47,0.13,0.65,1,82.9,83.9,0.62,0.33,-0.32,1," R"," ."," E04RL6L01"
10,-0.16,2,583,1001,0.12,0.77,-3.84,0.57,-2.73,0.05,0.69,1,87.4,82.7,0.62,0.31,-0.16,1," R"," ."," E04WR4M07"
11,-0.02,2,583,987,0.12,1.12,1.94,1.06,0.42,0.11,0.59,1,79.6,81.7,0.62,0.38,-0.02,1," R"," ."," E04RI2M07"
12,0.01,2,583,1015,0.12,0.89,-1.89,0.73,-1.67,-0.33,0.63,1,83.2,81.5,0.62,0.34,0.01,1," R"," ."," E04WR9M08"
13,0.12,2,583,993,0.12,1.27,4.22,1.38,2.16,-0.11,0.52,1,75.8,80.8,0.61,0.41,0.12,1," R"," ."," E04RI9M05"
14,0.45,2,583,985,0.11,0.99,-0.17,0.86,-1.04,-0.33,0.6,1,78.3,78.9,0.61,0.38,0.45,1," R"," ."," E04RF4M06"
15,0.58,2,583,989,0.11,0.85,-2.96,0.89,-0.83,-0.52,0.64,1,83,78.2,0.6,0.35,0.58,1," R"," ."," E04WR3M08"
16,0.3,1,583,971,0.11,0.98,-0.27,0.79,-1.46,0,0.62,1,79.8,79.7,0.61,0.37,0.31,1," R"," ."," E04RF3M08"
17,0.61,2,583,927,0.11,1.07,1.27,1,0.06,0.24,0.6,1,75.1,78.1,0.6,0.4,0.61,1," R"," ."," E04RF3H10"
18,0.58,1,583,949,0.11,1.32,5.48,1.5,3.31,0,0.5,1,68.6,78.2,0.6,0.44,0.58,1," R"," ."," E04RI2H11"
19,0.62,2,583,904,0.11,0.82,-3.66,0.61,-3.45,0.5,0.69,1,82.5,78.1,0.6,0.35,0.62,1," R"," ."," E04WR4H11"
20,0.26,1,583,974,0.11,0.97,-0.49,0.76,-1.68,0,0.63,1,76.7,79.9,0.61,0.37,0.27,1," R"," ."," E04RL6H10"
21,0.67,2,583,959,0.11,0.79,-4.43,0.62,-3.31,-0.21,0.67,1,84.1,77.8,0.6,0.34,0.67,1," R"," ."," E04RI6M05"
22,0.18,1,583,980,0.12,0.97,-0.54,0.86,-0.85,0,0.63,1,79.6,80.4,0.61,0.36,0.19,1," R"," ."," E04WR5H11"
23,0.74,2,583,940,0.11,1,-0.03,0.83,-1.34,-0.05,0.61,1,75.8,77.6,0.6,0.39,0.74,1," R"," ."," E04LA3M05"
24,1.67,1,583,855,0.11,1.17,3.25,1.15,1.16,0,0.52,1,71.7,76.4,0.57,0.43,1.67,1," R"," ."," E04RL2H12"
25,0.74,2,583,960,0.11,0.91,-1.81,0.84,-1.26,-0.29,0.62,1,80.5,77.6,0.6,0.37,0.74,1," R"," ."," E04WR5M07"
26,0.76,1,583,934,0.11,0.91,-1.77,0.82,-1.49,0,0.63,1,78.7,77.5,0.6,0.37,0.76,1," R"," ."," E04RI8H10"
27,0.89,2,583,917,0.11,0.88,-2.38,0.72,-2.47,0.08,0.64,1,79.2,77.1,0.6,0.37,0.89,1," R"," ."," E04RL1H09"
28,1.23,1,583,894,0.11,1.14,2.73,1.21,1.67,0,0.54,1,72.2,76.4,0.59,0.43,1.23,1," R"," ."," E04WR5H09"
29,0.94,2,583,866,0.11,1.29,5.21,1.21,1.67,0.6,0.53,1,67.5,76.9,0.6,0.45,0.94,1," R"," ."," E04RL1H11"
30,1.14,1,583,902,0.11,1.03,0.61,0.89,-0.94,0,0.59,1,74.5,76.5,0.59,0.4,1.14,1," R"," ."," E04LA3H11"
31,1.71,2,583,865,0.11,1.22,4.11,1.26,1.94,-0.15,0.51,1,69.9,76.4,0.57,0.44,1.71,1," R"," ."," E04RL2H11"
32,1.95,1,583,830,0.11,1.24,4.36,1.32,2.25,0,0.48,1,70.4,76.7,0.56,0.44,1.95,1," R"," ."," E04RI3H09"
33,0.96,2,583,952,0.11,0.91,-1.75,0.84,-1.31,-0.41,0.62,1,80.5,76.9,0.6,0.38,0.96,1," R"," ."," E04RL1M06"
34,0.65,1,583,943,0.11,0.8,-4.04,0.66,-2.95,0,0.67,1,83.8,77.9,0.6,0.35,0.66,1," R"," ."," E04RI4H10"
35,2.66,2,583,775,0.11,0.85,-2.83,0.72,-1.79,-0.06,0.58,1,80.3,78.7,0.52,0.35,2.66,1," R"," ."," E04WR4HSAMPLE"
36,2.28,1,583,801,0.11,1.22,3.96,1.28,1.76,0,0.47,1,70.8,77.4,0.54,0.43,2.28,1," R"," ."," E04RL2H09"
37,1.02,2,583,934,0.11,1.12,2.42,1.12,1.04,-0.26,0.56,1,73.3,76.7,0.59,0.42,1.02,1," R"," ."," E04LA1H10"
38,0.05,1,583,990,0.12,0.84,-2.76,0.91,-0.5,0,0.66,1,84.3,81.2,0.61,0.33,0.05,1," R"," ."," E04WR9H11"
39,1.12,2,583,891,0.11,0.96,-0.7,1.02,0.23,0.14,0.6,1,78.3,76.5,0.59,0.39,1.12,1," R"," ."," E04LA4M05"
40,1.15,2,583,830,0.11,0.92,-1.58,0.8,-1.74,0.8,0.64,1,77.4,76.5,0.59,0.38,1.15,1," R"," ."," E04WR4H10"
41,1.19,2,583,869,0.11,1.16,3.08,1.26,2.05,0.32,0.54,1,72.6,76.4,0.59,0.43,1.19,1," R"," ."," E04RI9M08"
42,1.37,2,583,904,0.11,1.06,1.23,0.95,-0.43,-0.25,0.58,1,72.4,76.3,0.58,0.41,1.37,1," R"," ."," E04RI1H10"
43,1.43,2,583,863,0.11,1.04,0.79,1.03,0.31,0.15,0.57,1,74.7,76.3,0.58,0.41,1.43,1," R"," ."," E04RL6M05"
44,1.7,2,583,885,0.11,1.2,3.86,1.16,1.25,-0.36,0.53,1,69.9,76.4,0.57,0.44,1.7,1," R"," ."," E04RL3H10"
