"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-3.02,2,597,1079,0.18,1.59,3.99,1.23,0.84,0.81,0.7,1,87.5,92.9,0.69,0.3,-3.01,1," R"," ."," M05NBT1.3AL04"
2,-2.05,2,597,1060,0.14,1.12,1.31,0.83,-0.98,0.19,0.66,1,85.3,88,0.65,0.33,-2.05,1," R"," ."," M05GEO2.4_L03"
3,-2,2,597,1058,0.14,1,0.07,0.78,-1.34,0.18,0.68,1,87.1,87.7,0.65,0.31,-2,1," R"," ."," M05OAT2.3_L01"
4,-1.98,2,597,1057,0.14,1.23,2.43,1.28,1.56,0.17,0.6,1,84.4,87.5,0.65,0.35,-1.98,1," R"," ."," M05NBT2.5_L02"
5,-1.63,2,597,1043,0.12,0.95,-0.69,0.87,-0.87,0.05,0.66,1,85.2,85,0.63,0.33,-1.63,1," R"," ."," M05NOF1.2_L01"
6,-1.51,2,597,1014,0.12,1.19,2.5,1.15,1.08,0.33,0.6,1,79.2,84,0.62,0.38,-1.51,1," R"," ."," M05NBT1.3AH10"
7,-1.25,2,597,1010,0.11,0.91,-1.47,0.76,-2.12,0.12,0.66,1,82.3,81.5,0.6,0.35,-1.25,1," R"," ."," M05GEO2.4_H09"
8,-1.03,2,597,945,0.11,1.2,3.14,1.08,0.73,0.63,0.59,1,72.1,79.5,0.59,0.42,-1.03,1," R"," ."," M05OAT2.3_M06"
9,-0.77,2,597,1001,0.11,0.93,-1.44,0.86,-1.43,-0.24,0.6,1,78,76.9,0.57,0.39,-0.77,1," R"," ."," M05MED2.2_L01"
10,-0.39,2,597,929,0.1,0.98,-0.51,0.99,-0.05,0.15,0.55,1,74.1,73.4,0.54,0.42,-0.39,1," R"," ."," M05MED2.2_L04"
11,-0.23,2,597,890,0.1,0.92,-1.9,0.86,-1.8,0.36,0.56,1,75.5,72.3,0.53,0.41,-0.23,1," R"," ."," M05NOF1.2_L03"
12,-0.05,2,597,943,0.1,1.17,4.02,1.5,5.31,-0.32,0.44,1,64.9,71.2,0.51,0.47,-0.05,1," R"," ."," M05GEO2.4_M06"
13,-0.03,2,597,861,0.1,1.13,3.17,1.24,2.75,0.43,0.45,1,64.2,71,0.51,0.46,-0.03,1," R"," ."," M05NBT1.1_L03"
14,0.05,2,597,837,0.1,1.11,2.92,1.24,2.8,0.57,0.44,1,65.7,70.7,0.51,0.46,0.05,1," R"," ."," M05OAT2.3_M07"
15,0.27,2,597,926,0.1,1.17,4.37,1.53,5.43,-0.47,0.45,1,63.3,70,0.49,0.47,0.27,1," R"," ."," M05NBT1.3BM06"
