"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PostHocDiscrim","Group","Model","ItemID"
1,3.04,2,243,35,0.2,1.17,1.31,3.1,4.64,-0.01,0.21,1,85.1,85.6,0.72,1,"R ","M06TNS2.4_L01"
2,1.8,2,243,82,0.16,1.28,4.06,1.79,3.75,-0.15,0.31,1,63.1,72.3,0.23,1,"R ","M06TNS2.4_M05"
3,2.61,2,243,53,0.18,1.34,3.15,4.09,7.06,-0.19,0.19,1,77.9,80.8,0.3,1,"R ","M06TNS2.4_H10"
4,0.26,2,243,146,0.16,1.03,0.42,1.18,1.51,-0.14,0.53,1,74.3,73.7,0.91,1,"R ","M06TNS1.1_L01"
5,-0.14,2,243,162,0.17,1.17,1.95,1.19,1.32,-0.19,0.51,1,69.4,76.9,0.75,1,"R ","M06TNS1.1_M05"
6,1,2,243,114,0.15,1.1,1.76,1.21,1.66,-0.11,0.45,1,63.1,69.4,0.68,1,"R ","M06TNS1.1_H09"
7,-0.14,2,243,149,0.17,1.06,0.68,1.03,0.24,0.17,0.57,1,75.2,76.9,0.93,1,"R ","M06EXE1.1_L01"
8,0.74,2,243,115,0.15,1.06,0.91,1.04,0.41,0.12,0.49,1,64.4,70.4,0.87,1,"R ","M06EXE1.1_M05"
9,0.69,2,243,122,0.15,1.22,3.38,1.53,4.04,0.02,0.41,1,64,70.7,0.37,1,"R ","M06EXE1.1_H09"
10,-0.44,2,243,171,0.18,0.95,-0.54,0.89,-0.65,-0.17,0.61,1,80.6,79.5,1.07,1,"R ","M06STP2.5_L01"
11,-1.09,2,243,183,0.2,0.85,-1.19,0.64,-1.75,0.05,0.71,1,85.1,85.2,1.17,1,"R ","M06STP2.5_M05"
12,0.12,2,243,156,0.16,0.94,-0.79,0.97,-0.24,-0.27,0.58,1,76.1,74.8,1.11,1,"R ","M06STP2.5_H09"
13,-0.86,2,243,176,0.19,0.81,-1.77,0.6,-2.3,0.08,0.71,1,86,83.3,1.23,1,"R ","M06STP2.5BL01"
14,0.15,2,243,144,0.16,0.87,-1.78,0.81,-1.64,0.01,0.61,1,77,74.6,1.25,1,"R ","M06STP2.5BM05"
15,0.46,2,243,132,0.16,0.91,-1.34,0.88,-1.03,0.01,0.57,1,73.4,72.1,1.2,1,"R ","M06STP2.5BH10"
16,1.51,2,243,87,0.15,1.04,0.73,1.06,0.43,0.01,0.43,1,70.3,70.4,0.87,1,"R ","M06EXE2.7_L01"
17,2.51,2,243,50,0.18,1.08,0.92,1.35,1.36,-0.01,0.31,1,81.5,79.7,0.82,1,"R ","M06EXE2.7_M05"
