"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PostHocDiscrim","Group","Model","ItemID"
1,-1.51,2,210,156,0.22,1.08,0.64,1.08,0.38,-0.11,0.64,1,84.5,84.6,0.92,1,"R ","M03MED3.7DL02"
2,-0.7,2,210,139,0.19,1.03,0.36,0.93,-0.28,-0.18,0.63,1,78.1,79.7,0.98,1,"R ","M03MED3.7DM06"
3,-0.71,2,210,139,0.19,0.99,-0.04,0.84,-0.8,-0.17,0.64,1,77,79.7,1.05,1,"R ","M03MED3.7DH11"
4,-2.66,2,210,178,0.28,0.68,-1.99,0.27,-2.01,-0.42,0.74,1,93.6,90.6,1.27,1,"R ","M03OAT4.9_L01"
5,0.05,2,210,114,0.18,1.12,1.37,1.42,2.19,-0.06,0.55,1,73.3,75.4,0.74,1,"R ","M03OAT4.9_M06"
6,-0.99,2,210,143,0.2,0.86,-1.24,0.72,-1.37,-0.05,0.69,1,85,81.5,1.17,1,"R ","M03OAT4.9_H11"
7,-1.38,2,210,151,0.21,1.24,1.84,1.67,2.2,0,0.6,1,79.7,83.9,0.74,1,"R ","M03OAT4.8_L01"
8,0.11,2,210,120,0.18,1.26,2.96,1.48,2.46,-0.3,0.52,1,64.7,75.1,0.49,1,"R ","M03OAT4.8_M06"
9,-0.39,2,210,118,0.19,1.19,1.89,1.12,0.72,0.25,0.58,1,69.5,78,0.76,1,"R ","M03OAT4.8_H11"
10,-1.53,2,210,152,0.22,1.19,1.45,1.2,0.77,0.1,0.62,1,82.4,84.7,0.81,1,"R ","M03MED3.5AL02"
11,-1.35,2,210,156,0.21,0.94,-0.42,0.88,-0.38,-0.27,0.66,1,84.5,83.6,1.06,1,"R ","M03MED3.5AM07"
12,-0.95,2,210,147,0.2,1.09,0.81,1.22,1.03,-0.25,0.61,1,80.2,81.3,0.88,1,"R ","M03MED3.5AH10"
13,-0.83,2,210,141,0.2,0.74,-2.68,0.57,-2.41,-0.12,0.71,1,86.6,80.5,1.34,1,"R ","M03NBT1.2_SAMPLE"
14,0.05,2,210,115,0.18,1.16,1.85,1.24,1.34,-0.09,0.55,1,69.5,75.4,0.7,1,"R ","M03NBT1.2_M08"
15,-2.02,2,210,163,0.24,0.77,-1.63,0.64,-1.03,0.03,0.73,1,91.4,87.7,1.19,1,"R ","M03GEO1.1_M05"
16,-2.9,2,210,174,0.29,1,0.05,0.92,0.02,0.18,0.72,1,89.8,91.5,1.03,1,"R ","M03GEO1.1_H09"
17,-0.79,2,210,137,0.19,0.97,-0.29,0.94,-0.25,-0.01,0.65,1,80.2,80.3,1.04,1,"R ","M03NOF1.1_L04"
18,-0.59,2,210,132,0.19,1.14,1.38,1.21,1.1,-0.02,0.59,1,75.4,79.1,0.79,1,"R ","M03NOF1.1_M08"
19,-0.2,2,210,121,0.18,1.06,0.68,1,0.07,-0.04,0.6,1,74.3,76.9,0.92,1,"R ","M03NOF1.1_H11"
20,-0.86,2,210,138,0.2,0.99,-0.03,0.95,-0.16,0.01,0.64,1,81.8,80.7,1,1,"R ","M03OAT1.1_L01"
21,0,2,210,115,0.18,0.87,-1.56,0.73,-1.65,-0.04,0.64,1,78.1,75.7,1.25,1,"R ","M03OAT1.1_M06"
22,-0.49,2,210,129,0.19,1.01,0.11,0.85,-0.8,-0.02,0.63,1,74.9,78.5,1.03,1,"R ","M03OAT1.1_H12"
23,-2.07,2,210,159,0.24,0.82,-1.24,0.89,-0.17,0.29,0.74,1,91.4,87.9,1.14,1,"R ","M03OAT4.8_L02"
24,-0.7,2,210,133,0.19,0.82,-1.78,0.73,-1.45,0.04,0.69,1,84.5,79.7,1.23,1,"R ","M03OAT4.8_M08"
25,-0.28,2,210,122,0.18,0.85,-1.67,0.74,-1.55,0.01,0.66,1,79.1,77.4,1.25,1,"R ","M03OAT4.8_H12"
26,-0.24,2,210,120,0.18,1.09,1.04,1.25,1.39,0.04,0.58,1,75.9,77.1,0.81,1,"R ","M03MED3.7BL01"
27,0.98,2,210,82,0.18,1.23,2.95,1.33,1.36,0,0.46,1,66.3,73.3,0.48,1,"R ","M03MED3.7BM08"
28,-1.21,2,210,143,0.21,0.73,-2.5,0.7,-1.28,0.17,0.74,1,88.2,82.8,1.29,1,"R ","M03MED1.1_L01"
29,-1.47,2,210,148,0.22,0.84,-1.28,0.64,-1.43,0.21,0.73,1,85.6,84.3,1.18,1,"R ","M03MED1.1_M05"
30,-1.52,2,210,149,0.22,0.93,-0.53,0.92,-0.19,0.22,0.7,1,84,84.7,1.06,1,"R ","M03MED1.1_H09"
31,-0.82,2,210,134,0.2,1.07,0.66,1.02,0.18,0.12,0.63,1,76.5,80.4,0.93,1,"R ","M03MED1.2_L01"
32,-0.1,2,210,115,0.18,1.04,0.48,1.1,0.62,0.06,0.59,1,74.9,76.3,0.92,1,"R ","M03MED1.2_M05"
33,-0.2,2,210,118,0.18,0.94,-0.67,0.98,-0.06,0.06,0.63,1,79.1,76.9,1.08,1,"R ","M03MED1.2_H12"
34,-0.82,2,210,134,0.2,0.96,-0.39,0.8,-0.97,0.12,0.66,1,79.7,80.4,1.09,1,"R ","M03OAT4.8_L03"
35,-0.53,2,210,126,0.19,0.86,-1.49,0.71,-1.69,0.12,0.67,1,81.8,78.7,1.22,1,"R ","M03OAT4.8_M05"
36,0.43,2,210,99,0.18,0.88,-1.67,0.75,-1.43,0.03,0.61,1,77.5,73.4,1.28,1,"R ","M03OAT4.8_H09"
37,0.81,2,210,87,0.18,1.19,2.5,1.31,1.4,0.02,0.49,1,64.2,72.9,0.58,1,"R ","M03OAT2.6_M07"
38,0.53,2,210,96,0.17,1.24,3.11,1.35,1.71,0.03,0.48,1,64.2,73,0.45,1,"R ","M03OAT2.6_H12"
1,-0.45,2,207,131,0.18,1.05,0.54,1.18,1.12,0.02,0.53,1,76.8,77,0.9,1,"R ","M03MED3.7DL03"
2,-1.64,2,207,166,0.22,0.97,-0.18,1.1,0.46,-0.13,0.59,1,86.9,85.8,1.01,1,"R ","M03MED3.7DM07"
3,-0.23,2,207,129,0.17,0.99,-0.11,1.15,0.99,-0.14,0.53,1,78.8,75.5,0.96,1,"R ","M03MED3.7DH10"
4,0.5,2,207,93,0.17,1.13,1.93,2.35,5.93,0.15,0.41,1,67.7,71.7,0.57,1,"R ","M03OAT1.2_L02"
5,-0.52,2,207,135,0.18,0.97,-0.27,1.17,1.03,-0.04,0.55,1,79.8,77.5,1.01,1,"R ","M03OAT1.2_M06"
6,-0.73,2,207,141,0.18,1.18,1.84,1.13,0.8,-0.03,0.49,1,73.2,78.8,0.77,1,"R ","M03OAT1.2_H10"
13,-1.14,2,207,153,0.2,0.76,-2.37,0.63,-1.97,-0.05,0.67,1,86.4,81.8,1.28,1,"R ","M03NBT1.2_L01"
14,0.59,2,207,95,0.16,1.36,4.91,1.79,3.73,0.01,0.32,1,58.6,71.5,0.06,1,"R ","M03NBT1.2_M05"
15,0.72,2,207,90,0.16,1.14,2.13,1.33,1.68,0.01,0.4,1,66.2,71.2,0.56,1,"R ","M03NBT1.2_H11"
16,-2.53,2,207,178,0.27,1.11,0.63,1.31,0.81,0.03,0.58,1,90.9,91.5,0.89,1,"R ","M03GEO1.1_L02"
17,-2.39,2,207,176,0.26,0.95,-0.25,0.63,-0.95,0.03,0.65,1,90.9,90.7,1.07,1,"R ","M03GEO1.1_M06"
18,-3.07,2,207,183,0.32,1.03,0.22,1.57,1.08,0.17,0.62,1,93.9,93.7,0.94,1,"R ","M03GEO1.1_H10"
19,0.29,2,207,106,0.17,1.32,4.11,1.42,2.41,0.01,0.37,1,60.1,72.5,0.28,1,"R ","M03GEO1.2_L03"
20,-0.72,2,207,140,0.18,1.24,2.33,1.3,1.65,0,0.47,1,69.7,78.8,0.68,1,"R ","M03GEO1.2_M08"
21,1.05,2,207,79,0.17,1.01,0.13,1,0.09,-0.01,0.45,1,69.2,71.5,0.96,1,"R ","M03GEO1.2_H10"
22,-1.4,2,207,156,0.21,0.97,-0.18,0.78,-0.92,0.08,0.62,1,84.3,83.9,1.06,1,"R ","M03OAT1.1_L03"
23,-0.97,2,207,147,0.19,0.85,-1.45,0.73,-1.46,0,0.63,1,86.4,80.5,1.19,1,"R ","M03OAT1.1_M07"
24,-0.24,2,207,125,0.17,0.85,-1.9,0.77,-1.6,-0.01,0.6,1,79.8,75.6,1.27,1,"R ","M03OAT1.1_H09"
25,-0.42,2,207,131,0.18,0.82,-2.12,0.69,-2.13,-0.01,0.63,1,78.8,76.8,1.3,1,"R ","M03OAT2.5_L04"
26,-0.18,2,207,122,0.17,0.84,-2.07,0.76,-1.68,0.02,0.61,1,81.3,75.2,1.29,1,"R ","M03OAT2.5_M05"
27,-0.92,2,207,145,0.19,1.04,0.41,0.85,-0.78,0.02,0.58,1,75.3,80.1,1,1,"R ","M03OAT2.5_H11"
28,-2.08,2,207,170,0.24,0.79,-1.34,0.64,-1.11,0.1,0.7,1,91.4,89,1.17,1,"R ","M03MED3.7DL01."
29,-1.37,2,207,156,0.21,0.88,-1.02,0.82,-0.73,0.05,0.64,1,83.3,83.6,1.13,1,"R ","M03MED3.7DM05"
30,-1.6,2,207,161,0.22,0.9,-0.73,0.9,-0.29,0.06,0.65,1,85.4,85.5,1.1,1,"R ","M03MED3.7DH09"
31,-1.16,2,207,152,0.2,0.8,-1.86,0.72,-1.39,0,0.66,1,85.9,82,1.23,1,"R ","M03MED1.1_L02"
32,-1.46,2,207,159,0.21,0.79,-1.81,0.63,-1.65,0.01,0.68,1,86.9,84.4,1.23,1,"R ","M03MED1.1_M06"
33,0.77,2,207,89,0.17,1.13,1.92,1.13,0.72,-0.01,0.42,1,66.7,71.2,0.68,1,"R ","M03NOF1.2AL01"
34,1.05,2,207,78,0.17,1.26,3.65,1.26,1.22,0.02,0.34,1,60.6,71.5,0.39,1,"R ","M03NOF1.2AM05"
35,0.99,2,207,80,0.17,1.1,1.49,1.02,0.15,0.02,0.42,1,69.7,71.3,0.79,1,"R ","M03NOF1.2AH11"
36,-2.15,2,207,171,0.25,0.81,-1.19,0.46,-1.83,0.1,0.7,1,90.9,89.4,1.18,1,"R ","M03OAT1.3_L01"
37,-0.74,2,207,140,0.18,0.88,-1.25,0.85,-0.82,0.02,0.62,1,80.8,78.9,1.17,1,"R ","M03OAT1.3_M07"
38,-0.55,2,207,135,0.18,0.91,-0.96,1.13,0.82,0,0.58,1,81.8,77.7,1.1,1,"R ","M03OAT1.3_H09"
39,0.77,2,207,89,0.17,0.99,-0.14,1.14,0.8,-0.01,0.47,1,70.7,71.2,0.98,1,"R ","M03MED1.2_L03"
40,-1.01,2,207,148,0.19,0.9,-0.93,0.8,-1.04,0,0.62,1,83.8,80.7,1.13,1,"R ","M03MED1.2_M08"
