"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-2.81,2,587,1095,0.16,1.04,0.42,0.78,-0.97,-0.01,0.62,1,90.4,91.3,0.62,0.27,-2.8,1," R"," ."," M04NBT1.2_L02"
2,-2.55,2,587,1059,0.15,1.57,4.72,1.33,1.53,0.49,0.54,1,83.7,90,0.61,0.35,-2.54,1," R"," ."," M04GEO1.2_L03"
3,-1.98,2,587,1063,0.13,0.97,-0.31,0.74,-1.9,-0.15,0.6,1,85.3,86.7,0.59,0.32,-1.98,1," R"," ."," M04NBT1.2_M05"
4,-1.81,2,587,1052,0.12,0.97,-0.41,0.84,-1.16,-0.13,0.59,1,84.7,85.4,0.58,0.33,-1.81,1," R"," ."," M04GEO1.2_M05"
5,-1.73,2,587,1038,0.12,0.98,-0.29,0.81,-1.55,0.01,0.61,1,83.7,84.7,0.58,0.34,-1.73,1," R"," ."," M04NOF2.3DL01"
6,-1.53,2,587,1004,0.12,1.02,0.32,0.83,-1.55,0.26,0.62,1,79.4,82.9,0.57,0.36,-1.53,1," R"," ."," M04MED1.1_L01"
7,-1.1,2,587,974,0.11,0.9,-1.92,0.75,-2.97,0.18,0.62,1,77.6,78.3,0.54,0.37,-1.1,1," R"," ."," M04MED1.2_L03"
8,-1.01,2,587,963,0.11,1.12,2.15,1.07,0.76,0.21,0.51,1,72.6,77.2,0.54,0.42,-1.01,1," R"," ."," M04NOF2.3AL01"
9,-0.91,2,587,984,0.1,1.05,0.9,1.03,0.43,-0.12,0.5,1,74.6,76,0.53,0.41,-0.91,1," R"," ."," M04NOF1.1_M08"
10,-0.85,2,587,961,0.1,1.11,2.17,1.05,0.58,0.07,0.49,1,69.1,75.4,0.53,0.43,-0.85,1," R"," ."," M04NBT2.4_L04"
11,-0.81,2,587,941,0.1,1.03,0.53,0.96,-0.51,0.23,0.54,1,72.3,74.9,0.53,0.42,-0.81,1," R"," ."," M04NOF2.3AH12"
12,-0.77,2,587,982,0.1,1,-0.06,0.98,-0.27,-0.23,0.51,1,74.2,74.5,0.52,0.41,-0.77,1," R"," ."," M04OAT3.5_H11"
13,-0.75,2,587,974,0.1,1,0.09,0.98,-0.26,-0.17,0.51,1,73,74.3,0.52,0.42,-0.75,1," R"," ."," M04MED1.2_M06"
14,-0.74,2,587,944,0.1,0.98,-0.48,0.93,-0.89,0.13,0.55,1,72.6,74.2,0.52,0.41,-0.74,1," R"," ."," M04NOF2.3DL03"
15,-0.64,2,587,950,0.1,0.85,-3.64,0.76,-3.47,-0.03,0.59,1,77.8,73.2,0.52,0.39,-0.64,1," R"," ."," M04GEO1.3_M05"
16,1.56,1,587,719,0.11,1.2,3.42,1.4,2.53,0,0.22,1,75.3,78.3,0.34,0.42,1.56,1," R"," ."," M04OAT2.4_M5"
17,0.76,2,587,801,0.1,0.91,-2.42,0.85,-1.62,-0.04,0.46,1,73.9,71.1,0.41,0.41,0.76,1," R"," ."," M04OAT1.2_L04"
18,0.95,1,587,777,0.1,1.16,3.61,1.31,2.75,0,0.3,1,69.8,72.4,0.4,0.46,0.95,1," R"," ."," M04OAT1.2_M06"
19,0.71,2,587,812,0.1,0.99,-0.27,0.91,-0.95,-0.09,0.44,1,70.9,70.8,0.42,0.43,0.71,1," R"," ."," M04OAT2.4_L01"
20,0.48,1,587,827,0.1,1.13,3.39,1.12,1.41,0,0.37,1,62,69.8,0.43,0.47,0.48,1," R"," ."," M04GEO1.1_H12"
21,1.04,2,587,782,0.1,1.16,3.53,1.12,1.08,-0.13,0.34,1,67.5,73.2,0.39,0.45,1.04,1," R"," ."," M04NBT1.1_H12"
22,0.91,1,587,781,0.1,1.14,3.2,1.06,0.6,0,0.34,1,65.9,72.1,0.4,0.46,0.91,1," R"," ."," M04GEO1.1_H09"
23,-0.24,2,587,901,0.1,1.11,2.81,1.05,0.72,0.04,0.44,1,65,70.4,0.49,0.46,-0.24,1," R"," ."," M04MED1.3_M06"
24,1.64,1,587,713,0.11,1.25,4.04,1.28,1.77,0,0.21,1,74.6,79.1,0.34,0.43,1.63,1," R"," ."," M04NBT1.1_M05"
25,-0.21,2,587,928,0.1,1.14,3.44,1.22,2.92,-0.24,0.42,1,64.8,70.3,0.49,0.47,-0.21,1," R"," ."," M04GEO1.2_M08"
26,-0.18,1,587,899,0.1,1.16,4,1.15,2.09,0,0.41,1,62.2,70.1,0.48,0.47,-0.18,1," R"," ."," M04NBT1.3_H11"
27,-0.12,2,587,917,0.1,1.02,0.52,0.95,-0.68,-0.22,0.48,1,67.9,69.9,0.48,0.44,-0.12,1," R"," ."," M04NOF2.4AM06"
