"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-2.3,2,632,558,0.17,0.84,-1.33,0.47,-2.36,-0.39,0.7,1,93.7,92.9,0.68,0.22,-2.29,1," R"," ."," M07GEO1.2_M05"
2,-1.78,2,632,535,0.15,0.84,-1.56,0.82,-0.83,-0.23,0.68,1,92.2,90.6,0.66,0.25,-1.77,1," R"," ."," M07RPR1.1_L04"
3,-1.75,2,632,529,0.15,0.81,-1.91,0.69,-1.57,-0.12,0.7,1,91.8,90.5,0.65,0.25,-1.74,1," R"," ."," M07TNS1.1BL01"
4,-1.69,2,632,526,0.14,0.92,-0.75,0.84,-0.75,-0.11,0.67,1,90.7,90.1,0.65,0.27,-1.68,1," R"," ."," M07STP1.2_L01"
5,-1.63,2,632,545,0.14,0.77,-2.56,0.47,-3.22,-0.63,0.68,1,91.5,89.8,0.65,0.25,-1.62,1," R"," ."," M07EXE2.3_L03"
6,-1.18,2,632,443,0.13,1.57,6.04,1.86,4.25,0.67,0.55,1,76.3,86.6,0.63,0.4,-1.18,1," R"," ."," M07STP3.5_H09"
7,-1.15,2,632,502,0.13,1.01,0.15,1.11,0.71,-0.18,0.6,1,86.8,86.3,0.62,0.33,-1.15,1," R"," ."," M07TNS1.1AL01"
8,-0.85,2,632,483,0.12,1.08,1.22,0.99,0,-0.18,0.57,1,80.3,83.6,0.61,0.36,-0.85,1," R"," ."," M07GEO1.1_L04"
9,-0.77,2,632,461,0.11,0.93,-1.13,0.77,-1.85,0.04,0.64,1,81.7,82.8,0.6,0.34,-0.77,1," R"," ."," M07EXE2.3_M07"
10,-0.61,2,632,463,0.11,1,0.05,0.92,-0.6,-0.14,0.58,1,81.5,81.3,0.59,0.37,-0.61,1," R"," ."," M07TNS1.1BM06"
11,-0.56,2,632,445,0.11,1.02,0.42,0.94,-0.5,0.03,0.59,1,78.8,80.8,0.59,0.38,-0.56,1," R"," ."," M07STP1.2_M06"
12,-0.47,2,632,432,0.11,1.03,0.53,0.95,-0.41,0.09,0.59,1,77.3,79.9,0.58,0.38,-0.47,1," R"," ."," M07TNS1.1DL03"
13,-0.32,2,632,447,0.11,0.93,-1.34,0.86,-1.34,-0.23,0.59,1,78.7,78.5,0.57,0.37,-0.32,1," R"," ."," M07TNS1.1AM06"
14,-0.13,2,632,431,0.1,0.86,-3.04,0.82,-1.88,-0.23,0.61,1,80.7,76.7,0.56,0.37,-0.13,1," R"," ."," M07TNS1.2AL02"
15,-0.12,2,632,386,0.1,1.18,3.49,1.29,2.7,0.23,0.5,1,73.2,76.6,0.56,0.43,-0.12,1," R"," ."," M07GEO1.2_H11"
16,-0.39,1,632,433,0.11,0.97,-0.47,0.92,-0.72,0,0.59,1,79.7,79.2,0.58,0.38,-0.39,1," R"," ."," M07RPR1.2CM07"
17,-0.1,2,632,358,0.1,1.16,3.1,1.16,1.56,0.47,0.53,1,70.5,76.5,0.56,0.43,-0.1,1," R"," ."," M07STP3.7AH12"
18,-0.99,1,632,480,0.12,0.89,-1.51,0.85,-1,0,0.65,1,86.7,84.9,0.61,0.32,-0.99,1," R"," ."," M07TNS1.2BL04"
19,0.01,2,632,427,0.1,0.87,-2.96,0.77,-2.65,-0.32,0.6,1,78.8,75.5,0.55,0.38,0.01,1," R"," ."," M07RPR1.1_H09"
20,1.32,1,632,252,0.09,1.07,1.77,1.13,1.22,0,0.43,1,68.8,71.5,0.46,0.45,1.32,1," R"," ."," M07GEO2.4_H09"
21,0.11,2,632,331,0.1,0.96,-0.95,0.83,-1.92,0.51,0.59,1,75.2,74.7,0.54,0.4,0.11,1," R"," ."," M07EXE2.3_H11"
22,-0.8,1,632,466,0.12,0.78,-3.46,0.61,-3.34,0,0.69,1,85.2,83.1,0.6,0.31,-0.79,1," R"," ."," M07STP2.3_M08"
23,0.16,2,632,389,0.1,0.75,-6.18,0.6,-5.06,-0.08,0.64,1,80.2,74.3,0.54,0.36,0.16,1," R"," ."," M07EXE2.3_H09"
24,-0.37,1,632,431,0.11,0.98,-0.31,0.93,-0.63,0,0.58,1,80.7,79,0.58,0.38,-0.37,1," R"," ."," M07GEO2.4_M06"
25,0.17,2,632,386,0.1,1.04,0.94,0.91,-0.99,-0.06,0.53,1,69.7,74.2,0.54,0.42,0.17,1," R"," ."," M07TNS1.1DM07"
26,0.39,1,632,356,0.1,0.93,-1.64,0.84,-1.9,0,0.56,1,73.5,72.7,0.53,0.41,0.39,1," R"," ."," M07EXE1.1_M06"
27,0.2,2,632,376,0.1,1.1,2.29,1.12,1.28,0.01,0.5,1,68.7,74,0.54,0.44,0.2,1," R"," ."," M07TNS1.1DH12"
28,-0.35,1,632,429,0.11,0.8,-3.87,0.65,-3.71,0,0.66,1,82.3,78.8,0.57,0.35,-0.34,1," R"," ."," M07GEO2.4_L04"
29,0.26,2,632,390,0.1,0.87,-3.2,0.75,-3.08,-0.19,0.59,1,77,73.5,0.53,0.39,0.26,1," R"," ."," M07STP3.7AM07"
30,0.62,1,632,331,0.1,0.92,-2,0.85,-1.75,0,0.54,1,75.3,71.7,0.51,0.41,0.62,1," R"," ."," M07EXE1.1_H10"
31,0.26,2,632,426,0.1,0.77,-5.89,0.64,-4.65,-0.56,0.64,1,82.3,73.5,0.53,0.37,0.26,1," R"," ."," M07TNS1.2AL01"
32,1.93,1,632,187,0.1,1.15,3.25,1.21,1.47,0,0.34,1,70,75,0.41,0.44,1.93,1," R"," ."," M07TNS1.2CL01"
33,0.27,2,632,341,0.1,0.9,-2.39,0.85,-1.78,0.26,0.58,1,76.5,73.5,0.53,0.4,0.27,1," R"," ."," M07STP1.2_H09"
34,0.3,1,632,366,0.1,1.07,1.73,0.97,-0.26,0,0.51,1,68.7,73.3,0.53,0.43,0.3,1," R"," ."," M07RPR1.2CH11"
35,0.37,2,632,312,0.1,0.91,-2.29,0.77,-2.8,0.42,0.58,1,74,72.8,0.53,0.4,0.37,1," R"," ."," M07EXE2.3_H12"
36,1.85,1,632,195,0.1,1.13,2.92,1.17,1.27,0,0.36,1,71.3,74.4,0.42,0.44,1.85,1," R"," ."," M07STP2.4_H12"
37,0.54,2,632,457,0.1,0.85,-4.17,0.73,-3.35,-1.18,0.66,1,77.8,72,0.51,0.39,0.54,1," R"," ."," M07GEO1.1_L01"
38,1.04,1,632,284,0.09,1.26,6.59,1.26,2.55,0,0.37,1,59.2,70.8,0.48,0.49,1.04,1," R"," ."," M07TNS1.2CH12"
39,0.57,2,632,340,0.1,0.94,-1.67,0.84,-1.86,-0.03,0.54,1,73,71.9,0.51,0.41,0.57,1," R"," ."," M07STP3.5_L04"
40,0.69,2,632,376,0.09,0.84,-4.5,0.75,-3.13,-0.48,0.6,1,78.8,71.4,0.5,0.39,0.69,1," R"," ."," M07STP3.7AM06"
41,0.94,2,632,359,0.09,1.16,4.09,1.11,1.18,-0.56,0.47,1,64.7,70.8,0.49,0.47,0.94,1," R"," ."," M07TNS1.2DH09"
42,1,2,632,271,0.09,1.05,1.35,0.99,-0.07,0.16,0.45,1,68,70.8,0.48,0.44,1,1," R"," ."," M07RPR1.1_M06"
43,1.01,2,632,265,0.09,0.97,-0.8,0.91,-0.91,0.2,0.48,1,71,70.8,0.48,0.43,1.01,1," R"," ."," M07RPR1.1_H12"
44,1.07,2,632,119,0.09,1.32,7.78,1.42,3.81,1.65,0.25,1,60,70.8,0.48,0.5,1.07,1," R"," ."," M07GEO1.1_M05"
45,1.39,2,632,252,0.1,1.02,0.57,0.94,-0.49,-0.06,0.46,1,69.2,71.7,0.45,0.43,1.39,1," R"," ."," M07GEO1.1_H11"
46,1.42,2,632,272,0.1,0.97,-0.69,0.95,-0.41,-0.26,0.5,1,73.2,71.9,0.45,0.42,1.42,1," R"," ."," M07RPR1.1_H10"
47,1.42,2,632,216,0.1,0.9,-2.59,0.86,-1.26,0.23,0.46,1,77.2,71.9,0.45,0.41,1.42,1," R"," ."," M07TNS1.1DH11"
48,2.17,2,632,138,0.1,1.18,3.37,1.35,2.06,0.29,0.24,1,75,77,0.39,0.43,2.17,1," R"," ."," M07TNS1.2DM07"
