"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PostHocDiscrim","Group","Model","ItemID"
1,0.63,2,194,110,0.17,1.04,0.64,1.11,0.91,-0.12,0.48,1,69.6,71.7,0.89,1,"R ","M08EXE2.6_L01"
2,1.52,2,194,74,0.17,1.2,2.98,1.55,3.18,0,0.31,1,65.8,69.9,0.34,1,"R ","M08EXE2.6_M05"
3,1.33,2,194,78,0.17,1.26,3.81,1.55,3.48,0.07,0.3,1,57.6,69.5,0.23,1,"R ","M08EXE2.6_H09"
4,-0.65,2,194,151,0.2,0.88,-1.08,0.72,-1.44,-0.3,0.6,1,82.1,82,1.17,1,"R ","M08GEO1.2_L01"
5,-0.35,2,194,142,0.19,0.92,-0.73,0.84,-0.91,-0.21,0.57,1,81.5,79.1,1.11,1,"R ","M08GEO1.2_M05"
6,0.46,2,194,123,0.17,0.91,-1.25,0.83,-1.47,-0.35,0.56,1,75,72.6,1.22,1,"R ","M08GEO1.2_H09"
7,-0.18,2,194,132,0.19,1.08,0.89,1.11,0.72,-0.01,0.51,1,74.5,77.5,0.88,1,"R ","M08FUN1.1_L01"
8,0.22,2,194,119,0.18,0.99,-0.06,0.92,-0.56,0.01,0.54,1,72.8,74.1,1.04,1,"R ","M08FUN1.1_M05"
9,0.11,2,194,126,0.18,0.99,-0.08,1.06,0.46,-0.1,0.53,1,75.5,74.9,1.01,1,"R ","M08FUN1.1_H09"
10,-0.58,2,194,146,0.2,0.81,-1.77,0.57,-2.59,-0.15,0.65,1,81.5,81.3,1.27,1,"R ","M08STP1.3_L01"
11,-0.57,2,194,143,0.2,0.96,-0.29,0.91,-0.44,-0.03,0.58,1,81,81.2,1.06,1,"R ","M08STP1.3_M05"
12,-0.15,2,194,135,0.19,0.81,-2.1,0.68,-2.3,-0.15,0.63,1,82.6,77.1,1.3,1,"R ","M08STP1.3_H09"
13,0.52,2,194,113,0.17,0.96,-0.56,0.92,-0.65,-0.1,0.53,1,75,72.2,1.1,1,"R ","M08EXE2.5_L01"
14,1.8,2,194,67,0.17,1.31,4.15,1.38,2,-0.07,0.27,1,61.4,71.5,0.26,1,"R ","M08EXE2.5_M05"
15,0.56,2,194,109,0.17,0.96,-0.53,0.92,-0.69,-0.03,0.53,1,71.2,72,1.1,1,"R ","M08EXE2.5_H12"
16,-0.34,2,194,137,0.19,0.91,-0.86,0.83,-1.01,-0.03,0.59,1,81,79,1.13,1,"R ","M08GEO1.4_L04"
17,-0.23,2,194,134,0.19,0.86,-1.44,0.74,-1.74,-0.04,0.62,1,78.8,77.9,1.22,1,"R ","M08GEO1.4_M08"
18,-0.53,2,194,141,0.2,0.84,-1.47,0.71,-1.65,0.01,0.64,1,83.2,80.9,1.21,1,"R ","M08GEO1.4_H09"
19,0.46,2,194,110,0.17,0.91,-1.19,0.87,-1.07,0.04,0.56,1,76.6,72.6,1.19,1,"R ","M08TNS1.1_L04"
20,1.8,2,194,64,0.17,0.99,-0.11,1.03,0.24,0.01,0.41,1,75,71.5,0.98,1,"R ","M08TNS1.1_H11"
21,1.06,2,194,84,0.17,1.03,0.46,0.95,-0.4,0.17,0.45,1,65.2,70.1,0.97,1,"R ","M08EXE1.1_L02"
22,2.2,2,194,51,0.18,1.16,1.85,1.4,1.7,0.02,0.27,1,77.2,75.2,0.62,1,"R ","M08EXE1.1_M06"
23,1.02,2,194,90,0.17,1,0.05,0.94,-0.44,0.05,0.48,1,69.6,70.2,1.02,1,"R ","M08FUN2.5_L03"
24,0.92,2,194,93,0.17,1.12,1.76,1.09,0.75,0.07,0.42,1,63,70.6,0.72,1,"R ","M08FUN2.5_M05"
25,0.55,2,194,105,0.17,0.98,-0.21,0.9,-0.8,0.1,0.52,1,73.4,72.1,1.07,1,"R ","M08FUN2.5_H09"
26,-0.47,2,194,134,0.2,0.93,-0.63,0.79,-1.18,0.2,0.63,1,79.3,80.2,1.12,1,"R ","M08GEO1.2_L03"
27,0.98,2,194,92,0.17,0.93,-1.06,0.87,-1.11,0.04,0.51,1,72.3,70.4,1.2,1,"R ","M08GEO1.2_M07"
28,0.71,2,194,101,0.17,0.85,-2.25,0.8,-1.8,0.05,0.57,1,78.3,71.3,1.36,1,"R ","M08GEO1.2_H11"
29,0.88,2,194,95,0.17,1.02,0.31,0.95,-0.38,0.06,0.48,1,69.6,70.7,0.98,1,"R ","M08EXE1.4_L02"
30,1.28,2,194,81,0.17,0.93,-1.05,0.88,-0.91,0.04,0.49,1,71.2,69.5,1.19,1,"R ","M08EXE1.4_M07"
31,1.52,2,194,73,0.17,0.92,-1.28,0.84,-1.06,0.03,0.48,1,75,69.9,1.23,1,"R ","M08EXE1.4_H10"
32,0.28,2,194,114,0.17,0.88,-1.49,0.89,-0.83,0.1,0.58,1,77.7,73.6,1.21,1,"R ","M08STP1.1_L04"
33,1.43,2,194,76,0.17,1.12,1.81,1.12,0.84,0.03,0.38,1,64.7,69.7,0.68,1,"R ","M08STP1.1_M06"
34,-0.49,2,194,135,0.2,0.84,-1.53,0.72,-1.65,0.19,0.66,1,83.2,80.5,1.21,1,"R ","M08TNS1.2_L01"
35,1.02,2,194,90,0.17,1.09,1.39,1.07,0.63,0.05,0.43,1,68.5,70.2,0.76,1,"R ","M08TNS1.2_H12"
36,1.91,2,194,60,0.17,1.05,0.71,0.95,-0.23,0.02,0.39,1,67.9,72.3,0.93,1,"R ","M08FUN1.2_L01"
37,1.56,2,194,71,0.17,1.02,0.26,0.91,-0.58,0.05,0.43,1,63,70.1,1.01,1,"R ","M08FUN1.2_M05"
38,2.22,2,194,50,0.18,1.09,1.12,1.27,1.19,0.03,0.31,1,73.4,75.5,0.78,1,"R ","M08FUN1.2_H09"
1,0.66,2,179,89,0.18,1.1,1.45,1.16,1.22,0.1,0.46,1,66.5,70.5,0.71,1,"R ","M08EXE2.6_L02"
2,1.78,2,179,54,0.18,1.13,1.63,1.37,1.94,0.1,0.34,1,70.7,72.6,0.62,1,"R ","M08EXE2.6_M06"
3,1.49,2,179,70,0.18,1.33,4.25,1.59,3.35,-0.13,0.32,1,62.2,70.5,0.09,1,"R ","M08EXE2.6_H10"
4,0.42,2,179,100,0.18,1.03,0.47,1.04,0.3,-0.01,0.52,1,72,71.8,0.92,1,"R ","M08GEO1.2_L02"
5,0.89,2,179,82,0.18,1.17,2.34,1.38,2.64,0.09,0.41,1,65.9,69.7,0.46,1,"R ","M08GEO1.2_M06"
6,-0.46,2,179,130,0.2,1,0,0.84,-0.7,-0.27,0.58,1,78,79.7,1.04,1,"R ","M08GEO1.2_H10"
13,1.72,2,179,60,0.18,1.49,5.64,2.19,5.36,-0.04,0.21,1,56.1,72.1,-0.26,1,"R ","M08EXE2.5_L02"
14,1.09,2,179,80,0.18,1.19,2.7,1.28,1.97,-0.05,0.4,1,64,69.5,0.44,1,"R ","M08EXE2.5_M08"
15,1.22,2,179,73,0.18,1.08,1.21,1.04,0.31,0.04,0.44,1,65.9,69.7,0.8,1,"R ","M08EXE2.5_H09"
16,-0.55,2,179,123,0.21,0.86,-1.2,0.73,-1.26,0.12,0.66,1,82.3,80.6,1.19,1,"R ","M08GEO1.4_L03"
17,-0.6,2,179,124,0.21,0.81,-1.67,0.66,-1.6,0.13,0.68,1,84.1,81.1,1.24,1,"R ","M08GEO1.4_M07"
18,-0.15,2,179,114,0.19,0.91,-0.93,0.86,-0.77,0.07,0.61,1,80.5,76.5,1.14,1,"R ","M08GEO1.4_H10"
19,1.51,2,179,65,0.18,1,-0.02,0.9,-0.6,0,0.46,1,70.1,70.7,1.04,1,"R ","M08TNS1.1_L01"
20,1.61,2,179,63,0.18,1.05,0.76,0.99,-0.01,-0.03,0.43,1,66.5,71.3,0.9,1,"R ","M08TNS1.1_M08"
21,1.09,2,179,78,0.18,0.94,-0.82,0.86,-1.08,0.01,0.51,1,71.3,69.5,1.18,1,"R ","M08TNS1.1_H12"
22,1.25,2,179,73,0.18,1,-0.04,0.9,-0.7,0.01,0.48,1,68.3,69.7,1.06,1,"R ","M08EXE1.1_L03"
23,0.71,2,179,89,0.18,0.83,-2.63,0.73,-2.23,0.04,0.59,1,75,70.3,1.47,1,"R ","M08EXE1.1_M05"
24,1.62,2,179,62,0.18,1.02,0.33,0.95,-0.28,-0.01,0.44,1,70.7,71.4,0.97,1,"R ","M08FUN2.5_L04"
25,1.56,2,179,63,0.18,0.98,-0.23,0.89,-0.69,0.02,0.46,1,70.1,71,1.08,1,"R ","M08FUN2.5_M06"
26,0.29,2,179,101,0.18,0.86,-1.79,0.75,-1.8,0.08,0.6,1,76.8,72.6,1.32,1,"R ","M08FUN2.5_H10"
27,0.56,2,179,94,0.18,1.03,0.39,0.97,-0.15,0.04,0.51,1,68.3,71,0.96,1,"R ","M08GEO2.6_L01"
28,2.24,2,179,45,0.2,1.23,2.28,1.32,1.36,-0.03,0.3,1,73.2,76.9,0.61,1,"R ","M08GEO2.6_H09"
29,0.8,2,179,87,0.18,1.13,1.88,1.04,0.38,0.02,0.46,1,61,70,0.71,1,"R ","M08EXE1.4_L03"
30,1.25,2,179,74,0.18,0.89,-1.73,0.8,-1.53,-0.02,0.53,1,73.8,69.7,1.33,1,"R ","M08EXE1.4_M06"
31,1.18,2,179,75,0.18,0.88,-1.87,0.79,-1.59,0.01,0.53,1,76.8,69.6,1.35,1,"R ","M08EXE1.4_H12"
32,1.48,2,179,64,0.18,1.13,1.75,1.09,0.61,0.06,0.4,1,64.6,70.5,0.71,1,"R ","M08STP1.1_L03"
33,1.05,2,179,78,0.18,1.04,0.66,0.95,-0.3,0.05,0.47,1,65.2,69.5,0.93,1,"R ","M08STP1.1_M05"
34,0.57,2,179,93,0.18,0.97,-0.41,0.87,-0.97,0.06,0.54,1,70.1,71,1.12,1,"R ","M08STP1.1_H11"
35,-0.66,2,179,124,0.21,0.87,-1.12,0.72,-1.21,0.19,0.67,1,84.8,81.7,1.17,1,"R ","M08TNS1.2_L02"
36,0.09,2,179,107,0.19,0.93,-0.8,0.84,-1.02,0.08,0.59,1,74.4,74.2,1.15,1,"R ","M08TNS1.2_M05"
37,1.61,2,179,62,0.18,1.09,1.27,1.13,0.81,0.01,0.4,1,67.1,71.3,0.77,1,"R ","M08TNS1.2_H09"
38,-0.46,2,179,120,0.2,0.86,-1.26,0.77,-1.08,0.15,0.65,1,82.9,79.7,1.18,1,"R ","M08FUN1.1_L03"
39,-0.07,2,179,111,0.19,0.72,-3.37,0.58,-2.78,0.09,0.68,1,82.3,75.6,1.49,1,"R ","M08FUN1.1_M07"
40,0.35,2,179,100,0.18,0.8,-2.72,0.7,-2.32,0.06,0.62,1,80.5,72.2,1.45,1,"R ","M08FUN1.1_H11"
7,0.01,2,190,129,0.18,0.94,-0.62,0.81,-1.17,-0.03,0.57,1,75.8,76.8,1.12,1,"R ","M08FUN1.1_L02"
8,0.16,2,190,133,0.18,0.9,-1.19,0.79,-1.4,-0.33,0.56,1,77.5,75.3,1.2,1,"R ","M08FUN1.1_M06"
9,0.1,2,190,128,0.18,0.9,-1.12,0.88,-0.74,-0.09,0.57,1,78,75.9,1.17,1,"R ","M08FUN1.1_H10"
10,-0.41,2,190,142,0.2,0.89,-0.96,0.8,-0.97,-0.1,0.59,1,82.4,80.9,1.14,1,"R ","M08STP1.3_L02"
13,1.54,2,190,80,0.17,1.13,1.89,1.32,2.21,-0.09,0.38,1,67,70.7,0.6,1,"R ","M08EXE2.5_L03"
14,1.58,2,190,78,0.17,1.32,4.24,2.01,5.86,-0.08,0.26,1,62.1,70.9,0.05,1,"R ","M08EXE2.5_M07"
15,1.6,2,190,73,0.17,0.93,-0.95,0.91,-0.64,0.04,0.48,1,74.7,71,1.15,1,"R ","M08EXE2.5_H10"
16,0.44,2,190,112,0.17,1.02,0.26,1,0.04,0.08,0.51,1,71.4,72.8,0.97,1,"R ","M08GEO1.4_L02"
17,-0.19,2,190,129,0.19,0.89,-1.07,0.75,-1.38,0.16,0.62,1,82.4,78.7,1.17,1,"R ","M08GEO1.4_M06"
18,-0.24,2,190,131,0.19,0.94,-0.6,0.86,-0.69,0.15,0.59,1,81.9,79.2,1.09,1,"R ","M08GEO1.4_H11"
19,1.66,2,190,72,0.17,0.99,-0.19,0.98,-0.09,0.02,0.45,1,75.3,71.2,1.01,1,"R ","M08TNS1.1_L02"
20,1.99,2,190,61,0.18,1.03,0.46,1.03,0.24,0.01,0.4,1,73.6,73.4,0.92,1,"R ","M08TNS1.1_M05"
21,1.51,2,190,76,0.17,1.13,1.81,1.07,0.55,0.05,0.39,1,63.7,70.6,0.72,1,"R ","M08TNS1.1_H09"
22,1.48,2,190,77,0.17,0.88,-1.81,0.79,-1.74,0.05,0.52,1,75.3,70.5,1.33,1,"R ","M08EXE1.1_L01"
23,2.92,2,190,35,0.21,1.14,1.22,1.25,0.93,0.01,0.26,1,82.4,82.1,0.8,1,"R ","M08EXE1.1_H12"
24,1.51,2,190,76,0.17,1.09,1.27,1,0.08,0.04,0.41,1,64.8,70.6,0.83,1,"R ","M08FUN2.5_L01"
25,2.14,2,190,56,0.18,1.04,0.52,1.02,0.17,0.03,0.38,1,73.6,74.6,0.92,1,"R ","M08FUN2.5_M07"
26,0.92,2,190,95,0.17,0.95,-0.77,0.86,-1.15,0.09,0.52,1,73.1,70.2,1.16,1,"R ","M08FUN2.5_H11"
27,1.46,2,190,76,0.17,1.18,2.55,1.12,0.97,0.09,0.36,1,63.7,70.4,0.59,1,"R ","M08GEO2.6_L02"
28,1.73,2,190,69,0.17,1.06,0.83,1.01,0.09,0.04,0.41,1,70.9,71.5,0.88,1,"R ","M08GEO2.6_M06"
29,0.79,2,190,99,0.17,1.04,0.62,0.97,-0.17,0.11,0.48,1,69.2,70.6,0.93,1,"R ","M08GEO2.6_H10"
30,0.85,2,190,97,0.17,1.03,0.51,0.95,-0.36,0.11,0.48,1,68.1,70.4,0.96,1,"R ","M08EXE1.4_L04"
31,1.11,2,190,89,0.17,0.83,-2.64,0.75,-2.27,0.07,0.56,1,78,70.1,1.45,1,"R ","M08EXE1.4_M05"
32,1.32,2,190,82,0.17,0.85,-2.42,0.76,-2.06,0.06,0.54,1,75.8,70.2,1.42,1,"R ","M08EXE1.4_H09"
33,0.62,2,190,105,0.17,0.88,-1.76,0.82,-1.43,0.11,0.57,1,76.9,71.6,1.28,1,"R ","M08STP1.1_L02"
34,1.47,2,190,77,0.17,0.9,-1.46,0.96,-0.28,0.06,0.5,1,73.1,70.5,1.23,1,"R ","M08STP1.1_M08"
35,1.62,2,190,71,0.17,1.11,1.62,1.08,0.64,0.08,0.38,1,67,71,0.74,1,"R ","M08STP1.1_H12"
36,1.2,2,190,86,0.17,0.85,-2.36,0.77,-2.03,0.07,0.55,1,77.5,70.2,1.4,1,"R ","M08TNS1.2_L04"
37,0.99,2,190,93,0.17,0.94,-0.92,0.92,-0.69,0.08,0.51,1,74.7,70.1,1.15,1,"R ","M08TNS1.2_M06"
38,1.02,2,190,92,0.17,0.87,-2.01,0.77,-2.06,0.08,0.55,1,72,70.1,1.36,1,"R ","M08TNS1.2_H10"
39,0.32,2,190,113,0.18,0.82,-2.44,0.76,-1.79,0.17,0.62,1,81.3,73.9,1.35,1,"R ","M08FUN1.1_L04"
40,0.14,2,190,118,0.18,0.74,-3.28,0.62,-2.78,0.19,0.67,1,82.4,75.5,1.46,1,"R ","M08FUN1.1_M08"
41,0.08,2,190,119,0.18,0.86,-1.69,0.82,-1.14,0.22,0.62,1,79.7,76,1.23,1,"R ","M08FUN1.1_H12"
13,1.76,2,186,70,0.17,1.1,1.58,1.32,2.67,-0.01,0.31,1,69.7,68.7,0.61,1,"R ","M08EXE2.5_L04"
14,1.39,2,186,84,0.16,1.08,1.49,1.25,2.49,-0.02,0.34,1,64,66.6,0.61,1,"R ","M08EXE2.5_M06"
15,1.1,2,186,94,0.16,1.06,1.01,1.07,0.79,-0.01,0.39,1,60.7,66.7,0.81,1,"R ","M08EXE2.5_H11"
16,-0.32,2,186,139,0.2,1.09,0.79,1.34,1.78,0.03,0.43,1,79.8,80.7,0.84,1,"R ","M08GEO1.4_L01"
17,0.22,2,186,124,0.18,0.99,-0.12,0.97,-0.17,0.01,0.48,1,73.6,74.3,1.03,1,"R ","M08GEO1.4_M05"
18,0.29,2,186,122,0.18,0.98,-0.16,1.01,0.15,0.01,0.47,1,73.6,73.5,1.01,1,"R ","M08GEO1.4_H12"
19,0.84,2,186,103,0.17,1.01,0.21,0.94,-0.65,0.01,0.44,1,62.4,68.3,1.02,1,"R ","M08TNS1.1_L03"
20,-0.16,2,186,134,0.19,0.89,-1.06,1.06,0.43,0.06,0.54,1,83.1,79,1.11,1,"R ","M08TNS1.1_H10"
22,1.11,2,186,93,0.16,1.07,1.21,1.01,0.11,0.01,0.39,1,59,66.6,0.82,1,"R ","M08EXE1.1_M08"
