"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-3.02,2,614,521,0.18,1.52,3.56,1.15,0.6,0.74,0.65,1,90.1,93.3,0.62,0.28,-3.01,1," R"," ."," M05NBT1.3AL04"
2,-2.05,2,614,503,0.14,1,0.04,0.66,-2.13,0.13,0.66,1,87.9,89.1,0.61,0.29,-2.05,1," R"," ."," M05GEO2.4_L03"
3,-2,2,614,504,0.14,1.09,1,0.82,-1.05,0.06,0.6,1,86.7,88.8,0.61,0.31,-2,1," R"," ."," M05OAT2.3_L01"
4,-1.98,2,614,495,0.14,1.2,2.04,1.11,0.65,0.2,0.58,1,85.8,88.7,0.61,0.33,-1.98,1," R"," ."," M05NBT2.5_L02"
5,-1.63,2,614,467,0.13,1.15,1.75,0.96,-0.26,0.28,0.6,1,83.1,86.5,0.59,0.35,-1.63,1," R"," ."," M05NOF1.2_L01"
6,-1.51,2,614,475,0.12,1.05,0.65,0.93,-0.46,0.05,0.59,1,84.5,85.6,0.59,0.34,-1.51,1," R"," ."," M05NBT1.3AH10"
7,-1.25,2,614,444,0.12,1.09,1.22,0.96,-0.31,0.2,0.59,1,79.9,83.5,0.58,0.37,-1.25,1," R"," ."," M05GEO2.4_H09"
8,-1.03,2,614,400,0.11,1.12,1.86,0.96,-0.32,0.48,0.6,1,75.5,81.4,0.57,0.39,-1.03,1," R"," ."," M05OAT2.3_M06"
9,-0.77,2,614,451,0.11,0.9,-1.91,1.03,0.39,-0.35,0.57,1,81.8,78.8,0.55,0.37,-0.77,1," R"," ."," M05MED2.2_L01"
10,-0.39,2,614,389,0.1,0.93,-1.61,0.88,-1.52,-0.04,0.56,1,75.7,75,0.53,0.4,-0.39,1," R"," ."," M05MED2.2_L04"
11,-0.23,2,614,370,0.1,0.93,-1.65,0.95,-0.65,-0.02,0.55,1,75.7,73.7,0.52,0.41,-0.23,1," R"," ."," M05NOF1.2_L03"
12,-0.05,2,614,374,0.1,1.07,1.75,1.25,3.03,-0.23,0.46,1,71,72.3,0.5,0.44,-0.05,1," R"," ."," M05GEO2.4_M06"
13,-0.03,2,614,312,0.1,1.08,1.86,1.12,1.5,0.3,0.47,1,67.6,72.1,0.5,0.44,-0.03,1," R"," ."," M05NBT1.1_L03"
14,0.05,2,614,301,0.1,1.08,1.96,1.15,1.84,0.32,0.46,1,69.5,71.6,0.5,0.45,0.05,1," R"," ."," M05OAT2.3_M07"
15,0.27,2,614,336,0.09,1.14,3.68,1.18,2.16,-0.2,0.42,1,64.8,70.3,0.48,0.47,0.27,1," R"," ."," M05NBT1.3BM06"
16,0.27,1,614,313,0.09,0.9,-2.8,0.91,-1.11,0,0.53,1,75.4,70.4,0.48,0.42,0.27,1," R"," ."," M05NBT1.2_L03"
17,0.31,2,614,271,0.09,1.16,4.33,1.15,1.8,0.32,0.39,1,62.9,70.2,0.48,0.47,0.31,1," R"," ."," M05GEO2.4_H12"
18,1.2,1,614,207,0.1,1.14,3.52,1.15,1.34,0,0.33,1,67.8,71.4,0.4,0.46,1.2,1," R"," ."," M05NBT2.6_M07"
19,0.44,2,614,315,0.09,0.94,-1.84,0.89,-1.41,-0.18,0.51,1,70.8,69.6,0.47,0.43,0.44,1," R"," ."," M05NOF2.5BL01"
20,1.14,1,614,214,0.1,1.02,0.46,1.22,1.94,0,0.39,1,72.3,71,0.41,0.43,1.14,1," R"," ."," M05NOF2.4BH12"
21,0.63,2,614,237,0.09,0.9,-3.01,0.86,-1.61,0.3,0.48,1,72.7,69.4,0.45,0.42,0.63,1," R"," ."," M05MED2.2_M05"
22,-0.16,1,614,360,0.1,0.83,-4.21,0.75,-3.55,0,0.6,1,79.4,73.1,0.51,0.39,-0.16,1," R"," ."," M05MED1.1_L01"
23,0.74,2,614,283,0.09,0.89,-3.34,1.01,0.09,-0.2,0.51,1,75.2,69.5,0.44,0.42,0.74,1," R"," ."," M05NBT1.3BM05"
24,0.95,1,614,235,0.09,1.04,1.08,1,0.07,0,0.4,1,67.6,70.1,0.42,0.44,0.95,1," R"," ."," M05MED3.5BM06"
25,0.79,2,614,296,0.09,1.32,8.56,1.28,2.83,-0.36,0.33,1,53.8,69.6,0.44,0.51,0.79,1," R"," ."," M05MED3.4_H10"
26,1.7,1,614,156,0.1,1.19,3.91,1.22,1.49,0,0.25,1,71.3,75.9,0.36,0.44,1.69,1," R"," ."," M05NBT1.2_H11"
27,0.87,2,614,252,0.09,0.99,-0.14,0.94,-0.62,-0.07,0.44,1,71,69.8,0.43,0.44,0.87,1," R"," ."," M05NBT1.1_H10"
28,1.06,1,614,222,0.09,0.97,-0.84,0.95,-0.48,0,0.43,1,72.3,70.6,0.41,0.43,1.06,1," R"," ."," M05GEO1.2_L01"
29,0.9,2,614,245,0.09,0.93,-1.96,0.84,-1.66,-0.04,0.47,1,71.3,69.9,0.43,0.42,0.9,1," R"," ."," M05NOF1.1_H12"
