"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-1.16,2,523,933,0.13,0.94,-0.84,0.71,-2.24,-0.27,0.6,1,82.7,83.5,0.59,0.34,-1.16,1," R"," ."," M06TNS3.6CL02"
2,-1.09,2,523,916,0.13,1.03,0.4,0.87,-0.98,-0.04,0.58,1,80.8,83,0.59,0.36,-1.09,1," R"," ."," M06STP2.5_M05"
3,1.23,2,523,739,0.1,1.1,2.47,1.68,6.17,-0.24,0.4,1,71.6,70.9,0.45,0.45,1.23,1," R"," ."," M06RPR1.2_M05"
4,-0.98,2,523,895,0.12,1.24,3.21,1.15,1.17,0.17,0.52,1,74.6,82.1,0.58,0.41,-0.98,1," R"," ."," M06TNS1.1_L02"
5,-0.64,2,523,864,0.12,1.02,0.38,1.05,0.5,0.24,0.58,1,77.4,79.2,0.57,0.39,-0.64,1," R"," ."," M06STP2.5CL02"
6,-0.46,2,523,881,0.11,1.26,4.1,1.29,2.8,-0.16,0.44,1,69.6,77.6,0.56,0.45,-0.46,1," R"," ."," M06GEO1.1_L04"
7,-0.35,2,523,862,0.11,0.82,-3.53,0.75,-2.99,-0.02,0.64,1,81.5,76.6,0.55,0.36,-0.35,1," R"," ."," M06STP2.5BL04"
8,-0.26,2,523,887,0.11,0.72,-5.73,0.66,-4.47,-0.43,0.66,1,85.7,75.8,0.55,0.35,-0.26,1," R"," ."," M06TNS3.6CM05"
9,-0.14,2,523,855,0.11,0.83,-3.52,0.77,-3.05,-0.14,0.62,1,80.2,74.9,0.54,0.38,-0.14,1," R"," ."," M06EXE1.1_L01"
10,-0.14,2,523,806,0.11,1.35,6.16,1.41,4.37,0.41,0.41,1,62.3,74.9,0.54,0.48,-0.14,1," R"," ."," M06TNS1.1_M05"
11,0.1,2,523,803,0.11,1.04,0.87,1.07,0.9,0.2,0.51,1,71.6,73.1,0.53,0.43,0.1,1," R"," ."," M06EXE1.1_H10"
12,0.15,2,523,780,0.11,0.94,-1.23,1,0.05,0.4,0.56,1,73.2,72.7,0.52,0.41,0.15,1," R"," ."," M06STP2.5BM05"
13,0.16,2,523,828,0.11,1.21,4.32,1.25,3.13,-0.13,0.42,1,64.7,72.7,0.52,0.47,0.16,1," R"," ."," M06TNS1.1_M07"
14,0.26,2,523,794,0.1,1.08,1.74,1.13,1.66,0.14,0.48,1,68.3,72,0.52,0.45,0.26,1," R"," ."," M06TNS1.1_L01"
15,0.36,2,523,796,0.1,0.84,-3.82,0.8,-2.85,0.02,0.59,1,77.6,71.5,0.51,0.4,0.36,1," R"," ."," M06STP2.5_M06"
16,1.75,1,523,670,0.11,0.95,-1.06,0.86,-1.13,0,0.43,1,77.4,74.6,0.4,0.4,1.74,1," R"," ."," M06RPR1.2_H10"
17,0.42,2,523,788,0.1,0.93,-1.55,0.91,-1.25,0.05,0.54,1,74,71.2,0.51,0.42,0.42,1," R"," ."," M06RPR1.1_L04"
18,0.74,1,523,762,0.1,0.94,-1.52,0.91,-1.24,0,0.51,1,73.4,70.2,0.48,0.42,0.74,1," R"," ."," M06TNS3.7AH12"
19,1.18,2,523,712,0.1,0.99,-0.17,0.92,-0.89,0.09,0.45,1,70.6,70.7,0.45,0.43,1.18,1," R"," ."," M06RPR1.2_H11"
20,1.85,1,523,661,0.11,1.16,2.95,1.22,1.65,0,0.31,1,73.4,75.6,0.39,0.43,1.85,1," R"," ."," M06TNS3.5_H11"
21,0.46,2,523,757,0.1,0.94,-1.55,0.9,-1.41,0.33,0.53,1,72.2,71,0.5,0.42,0.46,1," R"," ."," M06STP2.5BH10"
22,1.71,1,523,673,0.11,1.02,0.48,0.95,-0.34,0,0.4,1,74.8,74.3,0.41,0.42,1.71,1," R"," ."," M06EXE3.9_H10"
23,0.49,2,523,789,0.1,0.99,-0.19,0.93,-0.88,-0.03,0.51,1,71.4,70.9,0.5,0.43,0.49,1," R"," ."," M06TNS3.6AL04"
24,1.26,1,523,713,0.1,1.05,1.16,0.97,-0.24,0,0.42,1,69.2,71.1,0.44,0.44,1.26,1," R"," ."," M06GEO1.2_M08"
25,0.5,2,523,778,0.1,0.86,-3.49,0.78,-3.15,0.07,0.57,1,76.8,70.8,0.5,0.4,0.5,1," R"," ."," M06STP2.5_L02"
26,1.46,1,523,695,0.11,0.98,-0.34,0.93,-0.65,0,0.43,1,74.6,72.3,0.43,0.42,1.46,1," R"," ."," M06RPR1.2_H09"
27,0.55,2,523,779,0.1,0.89,-2.84,0.83,-2.43,0.01,0.56,1,73.6,70.7,0.5,0.41,0.55,1," R"," ."," M06EXE1.1_M06"
28,1.83,1,523,663,0.11,1.08,1.51,1.09,0.71,0,0.35,1,74.4,75.4,0.39,0.42,1.83,1," R"," ."," M06STP1.3_H11"
29,0.75,2,523,756,0.1,0.84,-4.34,0.77,-3.28,0.05,0.56,1,78.2,70.2,0.48,0.4,0.75,1," R"," ."," M06GEO1.1_L01"
30,0.96,1,523,741,0.1,1.28,6.6,1.31,3.44,0,0.33,1,58.7,70.1,0.47,0.5,0.96,1," R"," ."," M06EXE2.5_M05"
31,0.75,2,523,801,0.1,0.94,-1.62,0.85,-1.97,-0.41,0.56,1,71.6,70.2,0.48,0.42,0.75,1," R"," ."," M06TNS3.6AL01"
