"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PostHocDiscrim","Group","Model","ItemID"
1,-1.75,2,222,192,0.25,0.91,-0.49,0.62,-1.06,-0.11,0.63,1,90.1,90.6,1.1,1,"R ","M07TNS1.1BL01"
2,0.05,2,222,143,0.17,1.03,0.36,1.27,1.74,0.06,0.51,1,75.9,76.1,0.92,1,"R ","M07TNS1.1BM05"
3,0.18,2,222,138,0.17,0.93,-0.93,0.84,-1.15,0.07,0.57,1,77.8,75.2,1.15,1,"R ","M07TNS1.1BH09"
4,-1.69,2,222,194,0.25,0.87,-0.75,0.58,-1.24,-0.31,0.61,1,91,90.2,1.12,1,"R ","M07STP1.2_L01"
5,0.12,2,222,143,0.17,1.02,0.25,0.99,0,-0.01,0.52,1,74.1,75.6,0.98,1,"R ","M07STP1.2_M05"
6,0.27,2,222,138,0.17,0.96,-0.5,0.99,0,-0.03,0.54,1,75,74.5,1.07,1,"R ","M07STP1.2_H09"
7,-1.9,2,222,189,0.26,1.23,1.24,2.36,2.58,0.24,0.57,1,88.2,91.5,0.85,1,"R ","M07GEO1.2_L01"
8,-2.3,2,222,198,0.3,1,0.09,0.93,-0.01,-0.01,0.6,1,93.4,93.4,0.99,1,"R ","M07GEO1.2_M05"
9,-1.15,2,222,179,0.21,1.08,0.66,1.04,0.23,0,0.54,1,84.4,86.3,0.93,1,"R ","M07TNS1.1AL01"
10,1.34,2,222,87,0.16,1.22,3.32,1.4,2.35,0.19,0.33,1,60.8,70.4,0.38,1,"R ","M07TNS1.1AM05"
11,0.63,2,222,131,0.16,1,0.06,0.98,-0.11,-0.2,0.5,1,73.1,72.5,0.99,1,"R ","M07TNS1.1AH09"
12,0.26,2,222,138,0.17,1.01,0.11,1.03,0.24,-0.02,0.52,1,74.1,74.6,0.98,1,"R ","M07TNS1.2AL01"
13,0.53,2,222,127,0.16,1,0.06,0.99,-0.02,0,0.51,1,70.3,73,1.01,1,"R ","M07TNS1.2AM05"
14,1.14,2,222,103,0.16,1.08,1.24,1.12,0.83,0,0.44,1,65.1,70.5,0.78,1,"R ","M07TNS1.2AH09"
15,-0.49,2,222,163,0.19,1.08,0.78,0.97,-0.11,-0.03,0.53,1,78.3,80.7,0.93,1,"R ","M07RPR1.1_L01"
16,0.18,2,222,141,0.17,1.22,2.62,1.22,1.47,-0.02,0.43,1,67.9,75.2,0.63,1,"R ","M07RPR1.1_M05"
17,0.01,2,222,147,0.17,1.09,1.11,1.1,0.72,-0.02,0.49,1,74.1,76.4,0.84,1,"R ","M07RPR1.1_H09"
18,-0.64,2,222,167,0.19,0.82,-1.74,0.76,-1.23,-0.02,0.63,1,85.8,82,1.19,1,"R ","M07EXE2.3_L01"
19,-0.49,2,222,163,0.19,0.7,-3.3,0.52,-2.97,-0.02,0.68,1,87.7,80.7,1.38,1,"R ","M07EXE2.3_M05"
20,0.16,2,222,141,0.17,0.82,-2.46,0.72,-2.14,0,0.61,1,80.7,75.3,1.33,1,"R ","M07EXE2.3_H09"
21,0.6,2,222,125,0.16,0.95,-0.66,0.9,-0.72,-0.01,0.53,1,73.1,72.6,1.11,1,"R ","M07STP3.7AL01"
22,0.48,2,222,130,0.16,0.94,-0.78,0.86,-1.07,-0.02,0.54,1,74.1,73.3,1.14,1,"R ","M07STP3.7AM05"
23,0.68,2,222,122,0.16,0.93,-1.1,0.84,-1.25,-0.01,0.54,1,72.2,72.3,1.19,1,"R ","M07STP3.7AH09"
24,-0.11,2,222,150,0.17,0.89,-1.22,0.87,-0.8,0.01,0.58,1,80.2,77.4,1.15,1,"R ","M07TNS1.1DL01"
25,-0.47,2,222,161,0.18,0.84,-1.65,0.76,-1.3,0.03,0.62,1,84.9,80.5,1.19,1,"R ","M07TNS1.1DM05"
26,0.2,2,222,140,0.17,1.14,1.75,1.21,1.45,-0.01,0.46,1,70.3,75,0.75,1,"R ","M07TNS1.1DH12"
27,-0.36,2,222,158,0.18,1.03,0.37,0.96,-0.14,0.01,0.54,1,77.4,79.5,0.98,1,"R ","M07STP3.5_L03"
28,-0.69,2,222,167,0.19,0.89,-1.03,0.78,-1.07,0.04,0.62,1,83,82.5,1.14,1,"R ","M07STP3.5_M07"
29,-0.85,2,222,170,0.2,0.95,-0.42,0.84,-0.68,0.07,0.6,1,84.9,83.8,1.07,1,"R ","M07STP3.5_H11"
30,2.56,2,222,49,0.18,1.2,2.04,1.58,2.12,0.05,0.25,1,77.8,79.3,0.64,1,"R ","M07GEO1.1_M06"
31,1.09,2,222,105,0.16,1.04,0.61,1.02,0.21,0,0.46,1,71.7,70.7,0.9,1,"R ","M07GEO1.1_H10"
1,-0.8,2,226,188,0.2,0.71,-2.73,0.64,-1.78,-0.62,0.61,1,90.3,83.9,1.28,1,"R ","M07TNS1.1BL02"
2,-0.61,2,226,172,0.19,1.1,0.94,1.07,0.42,-0.11,0.51,1,76.9,82.3,0.92,1,"R ","M07TNS1.1BM06"
3,-0.98,2,226,177,0.2,1.13,1.04,0.9,-0.33,0.07,0.55,1,81,85.3,0.93,1,"R ","M07TNS1.1BH10"
4,-1.03,2,226,179,0.21,0.81,-1.52,0.79,-0.82,0.04,0.65,1,88.4,85.6,1.16,1,"R ","M07STP1.2_L02"
5,-0.56,2,226,169,0.19,1.1,0.93,0.92,-0.35,-0.04,0.53,1,77.3,81.9,0.94,1,"R ","M07STP1.2_M06"
6,0.17,2,226,143,0.17,0.93,-0.88,0.89,-0.84,0.03,0.57,1,76.4,75.9,1.12,1,"R ","M07STP1.2_H10"
12,-0.13,2,226,156,0.17,0.81,-2.22,0.7,-2.1,-0.05,0.63,1,83.8,78.2,1.28,1,"R ","M07TNS1.2AL02"
13,0.64,2,226,126,0.16,1.08,1.18,1.01,0.1,0,0.48,1,66.7,72.5,0.87,1,"R ","M07TNS1.2AM06"
14,0.89,2,226,116,0.16,1.19,2.81,1.28,2.27,0.01,0.4,1,64.4,71.3,0.53,1,"R ","M07TNS1.2AH10"
15,-0.16,2,226,156,0.17,1.24,2.46,1.48,2.74,-0.02,0.42,1,73.6,78.4,0.62,1,"R ","M07RPR1.1_L02"
16,1,2,226,111,0.16,0.96,-0.55,0.92,-0.68,0.02,0.51,1,71.3,71,1.1,1,"R ","M07RPR1.1_M06"
17,1.01,2,226,111,0.16,0.88,-2.02,0.87,-1.15,0.01,0.54,1,76.9,70.9,1.3,1,"R ","M07RPR1.1_H12"
18,-1.35,2,226,184,0.22,0.81,-1.41,0.71,-1.01,0.14,0.67,1,90.3,87.8,1.16,1,"R ","M07EXE2.3_L02"
19,-0.68,2,226,170,0.19,0.78,-2.12,0.58,-2.37,0.04,0.67,1,84.7,82.9,1.26,1,"R ","M07EXE2.3_M06"
20,-0.24,2,226,157,0.18,1.01,0.13,0.94,-0.35,0.02,0.55,1,76.9,79.1,1,1,"R ","M07EXE2.3_H10"
21,-0.05,2,226,151,0.17,0.81,-2.32,0.72,-2.05,0.02,0.63,1,80.6,77.5,1.29,1,"R ","M07STP3.7AL02"
22,0.69,2,226,124,0.16,1.11,1.57,1.07,0.66,0,0.46,1,68.5,72.2,0.79,1,"R ","M07STP3.7AM06"
23,0.93,2,226,113,0.16,1.09,1.45,1.09,0.82,0.03,0.45,1,63.9,71.2,0.8,1,"R ","M07STP3.7AH10"
24,-0.17,2,226,155,0.17,1.03,0.4,0.93,-0.43,0.02,0.54,1,75.9,78.5,0.98,1,"R ","M07TNS1.1DL02"
25,0.44,2,226,132,0.16,1,-0.02,0.98,-0.16,0.05,0.52,1,75.5,73.8,1.01,1,"R ","M07TNS1.1DM06"
26,0.8,2,226,119,0.16,1.04,0.65,1,0.02,0.01,0.48,1,70.4,71.6,0.92,1,"R ","M07TNS1.1DH10"
27,2.17,2,226,62,0.17,1.17,2.17,1.34,1.63,0.09,0.3,1,72.2,74.9,0.64,1,"R ","M07TNS1.2DM07"
28,1.98,2,226,71,0.16,1.24,3.32,1.32,1.74,0.04,0.29,1,68.1,73.3,0.46,1,"R ","M07TNS1.2DH11"
29,-0.79,2,226,172,0.2,0.81,-1.68,0.78,-1.03,0.07,0.65,1,85.6,83.8,1.19,1,"R ","M07STP3.5_L01"
30,-1.39,2,226,183,0.22,0.86,-1,0.59,-1.5,0.22,0.68,1,90.7,88,1.14,1,"R ","M07STP3.5_M05"
31,-1.18,2,226,180,0.21,0.82,-1.41,0.65,-1.37,0.15,0.67,1,89.4,86.7,1.18,1,"R ","M07STP3.5_H09"
32,-0.85,2,226,173,0.2,0.95,-0.4,0.76,-1.07,0.1,0.61,1,83.3,84.3,1.08,1,"R ","M07GEO1.1_L04"
33,1.09,2,226,104,0.16,1.17,2.54,1.21,1.72,0.1,0.4,1,63,70.8,0.58,1,"R ","M07GEO1.1_M08"
34,0.93,2,226,112,0.16,0.95,-0.75,0.95,-0.45,0.06,0.51,1,73.6,71.2,1.12,1,"R ","M07GEO1.1_H12"
7,-2.26,2,206,186,0.31,0.62,-1.84,0.23,-2.29,-0.5,0.71,1,95.3,93.3,1.24,1,"R ","M07GEO1.2_L02"
8,-1.9,2,206,184,0.28,0.67,-1.89,0.43,-1.74,-0.62,0.67,1,94.3,91.3,1.22,1,"R ","M07GEO1.2_M06"
9,-0.12,2,206,136,0.18,1.26,2.65,1.29,1.82,0.08,0.44,1,72.4,76.9,0.61,1,"R ","M07GEO1.2_H11"
10,0.24,2,206,128,0.17,0.99,-0.06,1.02,0.19,-0.02,0.52,1,76.6,73.8,0.99,1,"R ","M07TNS1.1AL02"
11,-0.32,2,206,143,0.19,1.24,2.26,1.26,1.52,0.06,0.46,1,74.5,78.8,0.68,1,"R ","M07TNS1.1AM06"
12,0.34,2,206,127,0.17,1.14,1.79,1.09,0.78,-0.09,0.46,1,67.2,73,0.75,1,"R ","M07TNS1.1AH10"
13,0.4,2,206,122,0.17,0.94,-0.86,0.91,-0.79,-0.02,0.54,1,75,72.5,1.14,1,"R ","M07TNS1.2AL03"
14,1.11,2,206,94,0.16,0.95,-0.88,0.88,-1.12,0.03,0.49,1,69.8,69.4,1.18,1,"R ","M07TNS1.2AM07"
15,1.77,2,206,70,0.17,1.34,4.56,1.68,3.91,0.02,0.25,1,62.5,70.9,0.13,1,"R ","M07TNS1.2AH11"
16,0.89,2,206,102,0.16,0.96,-0.58,0.91,-0.84,0.04,0.5,1,69.8,70,1.12,1,"R ","M07RPR1.1_L03"
17,1.4,2,206,83,0.16,1.13,2.03,1.11,0.9,0.04,0.39,1,62.5,69.4,0.66,1,"R ","M07RPR1.1_M07"
18,1.42,2,206,83,0.16,1.03,0.57,0.97,-0.23,0.01,0.43,1,67.7,69.5,0.94,1,"R ","M07RPR1.1_H10"
19,-1.63,2,206,171,0.25,0.95,-0.26,0.72,-0.8,0.16,0.67,1,90.1,89.6,1.07,1,"R ","M07EXE2.3_L03"
20,-0.77,2,206,156,0.2,0.87,-1.08,0.75,-1.21,0.03,0.63,1,85.4,83,1.15,1,"R ","M07EXE2.3_M07"
21,0.11,2,206,131,0.17,0.85,-1.87,0.78,-1.8,0.02,0.59,1,79.2,74.8,1.27,1,"R ","M07EXE2.3_H11"
22,0.11,2,206,131,0.17,0.98,-0.2,0.91,-0.62,0.02,0.54,1,75,74.8,1.05,1,"R ","M07STP3.7AL03"
23,0.26,2,206,125,0.17,0.91,-1.12,0.85,-1.21,0.04,0.56,1,74,73.6,1.18,1,"R ","M07STP3.7AM07"
24,-0.32,2,206,143,0.19,0.83,-1.79,0.7,-1.95,0.06,0.63,1,80.7,78.8,1.25,1,"R ","M07STP3.7AH11"
25,-0.47,2,206,147,0.19,0.93,-0.6,0.94,-0.27,0.07,0.59,1,81.8,80.3,1.08,1,"R ","M07TNS1.1DL03"
26,0.17,2,206,128,0.17,1.05,0.64,1.13,1.04,0.04,0.5,1,71.4,74.3,0.9,1,"R ","M07TNS1.1DM07"
27,1.42,2,206,82,0.16,0.89,-1.8,0.88,-0.95,0.04,0.49,1,77.6,69.5,1.28,1,"R ","M07TNS1.1DH11"
28,1.39,2,206,84,0.16,1.08,1.35,1.1,0.85,0.02,0.41,1,69.3,69.4,0.75,1,"R ","M07TNS1.2DM06"
29,0.57,2,206,115,0.17,0.92,-1.13,0.89,-1.02,0.01,0.54,1,74,71.4,1.18,1,"R ","M07STP3.5_L04"
30,0.49,2,206,118,0.17,0.95,-0.75,0.88,-1.03,0.01,0.53,1,72.9,72,1.14,1,"R ","M07STP3.5_M08"
31,0.39,2,206,120,0.17,0.91,-1.23,0.82,-1.57,0.05,0.56,1,76,72.6,1.21,1,"R ","M07STP3.5_H12"
32,0.54,2,206,115,0.17,1.05,0.7,1.02,0.22,0.04,0.48,1,70.3,71.6,0.9,1,"R ","M07GEO1.1_L01"
33,1.07,2,206,95,0.16,1.04,0.7,0.99,-0.04,0.04,0.45,1,66.1,69.5,0.91,1,"R ","M07GEO1.1_M05"
34,1.17,2,206,91,0.16,0.96,-0.59,0.9,-0.87,0.05,0.48,1,71.9,69.3,1.13,1,"R ","M07GEO1.1_H09"
13,0.77,2,209,114,0.17,0.94,-0.73,0.92,-0.36,0.06,0.59,1,78.9,75.4,1.1,1,"R ","M07TNS1.2AL04"
14,1.08,2,209,103,0.17,1.09,1.13,1.1,0.55,0.08,0.52,1,74.4,74.6,0.82,1,"R ","M07TNS1.2AM08"
15,-1.78,2,209,173,0.26,0.75,-1.53,0.36,-1.71,0.31,0.73,1,91.5,90.4,1.22,1,"R ","M07RPR1.1_L04"
16,0.21,2,209,132,0.18,0.99,-0.05,1,0.09,0.06,0.6,1,77.4,77.9,1.01,1,"R ","M07RPR1.1_M08"
17,-0.03,2,209,139,0.19,0.98,-0.15,0.85,-0.71,0.06,0.61,1,78.4,79.7,1.05,1,"R ","M07RPR1.1_H11"
18,-0.77,2,209,157,0.21,0.82,-1.47,0.95,-0.09,0.11,0.68,1,87.9,85,1.17,1,"R ","M07EXE2.3_L04"
19,-0.26,2,209,145,0.19,0.72,-2.89,0.53,-2.54,0.07,0.71,1,86.9,81.4,1.35,1,"R ","M07EXE2.3_M08"
20,0.37,2,209,127,0.18,0.78,-2.75,0.61,-2.37,0.06,0.68,1,82.4,76.9,1.37,1,"R ","M07EXE2.3_H12"
21,-0.37,2,209,148,0.2,1.03,0.27,1.13,0.6,0.08,0.6,1,80.9,82.3,0.97,1,"R ","M07STP3.7AL04"
22,-0.02,2,209,138,0.19,1.18,1.75,1.25,1.2,0.09,0.54,1,73.9,79.6,0.77,1,"R ","M07STP3.7AM08"
23,-0.1,2,209,141,0.19,0.86,-1.45,0.7,-1.53,0.07,0.66,1,85.4,80.3,1.2,1,"R ","M07STP3.7AH12"
24,0,2,209,139,0.19,0.93,-0.73,0.77,-1.18,0.03,0.63,1,78.4,79.4,1.13,1,"R ","M07TNS1.1DL04"
25,0.82,2,209,113,0.17,1.05,0.6,1.01,0.1,0.04,0.56,1,74.4,75.3,0.93,1,"R ","M07TNS1.1DM08"
26,0.99,2,209,106,0.17,0.91,-1.17,0.83,-0.88,0.08,0.6,1,76.9,74.8,1.18,1,"R ","M07TNS1.1DH09"
27,0.94,2,209,108,0.17,1.22,2.64,1.1,0.56,0.08,0.49,1,66.8,75,0.65,1,"R ","M07TNS1.2DH09"
28,-0.5,2,209,151,0.2,0.92,-0.71,0.82,-0.68,0.09,0.65,1,83.4,83.2,1.1,1,"R ","M07STP3.5_L02"
29,-0.96,2,209,160,0.22,0.85,-1.17,0.59,-1.47,0.17,0.69,1,87.4,86.1,1.17,1,"R ","M07STP3.5_M06"
30,-1.2,2,209,165,0.23,0.78,-1.63,0.71,-0.81,0.17,0.69,1,91.5,87.6,1.17,1,"R ","M07STP3.5_H10"
31,0.34,2,209,127,0.18,1.08,0.88,1.09,0.52,0.09,0.56,1,76.4,77.1,0.88,1,"R ","M07GEO1.1_L03"
33,1.39,2,209,92,0.17,0.99,-0.17,0.95,-0.14,0.1,0.54,1,73.4,74.2,1.02,1,"R ","M07GEO1.1_H11"
