"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-0.79,2,506,880,0.13,1.14,1.67,1.05,0.42,0.15,0.55,1,81.1,83.6,0.58,0.38,-0.79,1," R"," ."," M08TNS1.2_L03"
2,-0.65,2,506,895,0.12,0.82,-2.54,0.74,-2.37,-0.23,0.63,1,83.2,82.2,0.57,0.33,-0.65,1," R"," ."," M08GEO1.2_L01"
3,-0.57,2,506,865,0.12,1.06,0.81,0.95,-0.44,0.15,0.57,1,77.7,81.3,0.56,0.39,-0.57,1," R"," ."," M08STP1.3_M05"
4,-0.46,2,506,821,0.12,1.4,5.29,1.35,2.99,0.59,0.47,1,69.7,80.1,0.55,0.46,-0.46,1," R"," ."," M08FUN1.1_L03"
5,-0.41,2,506,859,0.12,1.03,0.51,0.94,-0.58,0.07,0.55,1,77.7,79.5,0.55,0.4,-0.41,1," R"," ."," M08STP1.3_L02"
6,-0.34,2,506,861,0.12,1.13,2.09,1.39,3.59,-0.03,0.46,1,76,78.7,0.54,0.42,-0.34,1," R"," ."," M08GEO1.4_L04"
7,-0.16,2,506,830,0.11,1,0.03,0.91,-0.96,0.18,0.55,1,74.7,76.4,0.52,0.41,-0.16,1," R"," ."," M08TNS1.1_H10"
8,-0.15,2,506,842,0.11,1.01,0.14,1.16,1.77,0.03,0.52,1,73.9,76.3,0.52,0.41,-0.15,1," R"," ."," M08STP1.3_H09"
9,0.1,2,506,783,0.11,1.03,0.64,1.01,0.2,0.44,0.52,1,69.1,73.1,0.5,0.43,0.1,1," R"," ."," M08FUN1.1_H10"
10,0.29,2,506,844,0.1,0.9,-2.49,0.88,-1.75,-0.43,0.53,1,77.7,70.7,0.48,0.42,0.29,1," R"," ."," M08GEO1.4_H12"
11,0.29,2,506,750,0.1,1.33,6.99,1.37,4.69,0.58,0.35,1,55.8,70.7,0.48,0.51,0.29,1," R"," ."," M08FUN2.5_H10"
12,0.46,2,506,824,0.1,0.92,-2.22,0.9,-1.55,-0.36,0.51,1,72.8,68.8,0.47,0.43,0.46,1," R"," ."," M08TNS1.1_L04"
13,0.52,2,506,767,0.1,1.08,2.18,1.17,2.39,0.18,0.41,1,65.5,68.1,0.46,0.47,0.52,1," R"," ."," M08EXE2.5_L01"
14,0.63,2,506,709,0.1,1.05,1.44,1.01,0.17,0.66,0.43,1,61.1,67.1,0.45,0.46,0.63,1," R"," ."," M08EXE2.6_L01"
15,0.71,2,506,779,0.1,0.92,-2.49,0.87,-2.08,-0.13,0.5,1,73.7,66.5,0.45,0.44,0.71,1," R"," ."," M08EXE1.1_M05"
16,1.48,1,506,690,0.1,1.01,0.4,1.01,0.19,0,0.37,1,69.1,67.8,0.38,0.45,1.48,1," R"," ."," M08STP1.4_M06"
17,1.06,2,506,786,0.1,0.95,-1.54,0.89,-1.68,-0.54,0.51,1,65.9,65.6,0.42,0.45,1.06,1," R"," ."," M08GEO1.2_M08"
18,0.84,1,506,753,0.1,0.92,-2.46,0.9,-1.58,0,0.48,1,71.2,65.8,0.43,0.44,0.84,1," R"," ."," M08EXE1.3_M05"
19,1.09,2,506,769,0.1,1.04,1.4,1,0.04,-0.4,0.44,1,64,65.7,0.41,0.47,1.09,1," R"," ."," M08TNS1.1_H12"
20,0.99,1,506,738,0.1,1.16,4.82,1.15,2.13,0,0.34,1,57.1,65.6,0.42,0.49,0.99,1," R"," ."," M08GEO3.9_M05"
21,1.11,2,506,725,0.1,0.9,-3.3,0.83,-2.55,0.02,0.47,1,70.3,65.7,0.41,0.43,1.11,1," R"," ."," M08FUN2.5_L02"
22,1.24,1,506,713,0.1,1.12,3.61,1.08,1.06,0,0.34,1,60.8,66.1,0.4,0.48,1.24,1," R"," ."," M08GEO3.9_H12"
23,1.28,2,506,680,0.1,0.94,-1.89,0.88,-1.62,0.31,0.39,1,70.7,66.3,0.4,0.44,1.28,1," R"," ."," M08EXE1.4_M07"
24,0.62,1,506,775,0.1,0.99,-0.17,0.96,-0.55,0,0.46,1,66.9,67.1,0.45,0.45,0.62,1," R"," ."," M08STP1.3_H11"
25,1.39,2,506,670,0.1,0.94,-1.67,0.87,-1.74,0.3,0.38,1,68.8,67.1,0.39,0.44,1.39,1," R"," ."," M08EXE2.5_M06"
26,1.94,1,506,648,0.11,1.16,3.32,1.23,2.08,0,0.24,1,70.9,73.2,0.34,0.46,1.94,1," R"," ."," M08FUN1.2_H11"
27,1.46,2,506,694,0.1,1.14,3.74,1.15,1.82,-0.02,0.31,1,63.2,67.6,0.38,0.48,1.46,1," R"," ."," M08GEO2.6_L02"
28,1.64,1,506,675,0.1,0.99,-0.14,0.96,-0.48,0,0.37,1,71.4,69.4,0.37,0.44,1.64,1," R"," ."," M08EXE3.7AH09"
29,2.36,2,506,614,0.12,0.94,-1.04,0.88,-0.93,0.01,0.34,1,80.4,78.7,0.31,0.38,2.36,1," R"," ."," M08EXE3.7AH11"
30,1.55,1,506,683,0.1,0.91,-2.43,0.85,-1.87,0,0.42,1,74.3,68.5,0.37,0.43,1.55,1," R"," ."," M08EXE2.6_SAMPLE"
31,2.03,2,506,641,0.11,1.1,2.02,1.04,0.39,0,0.29,1,70.5,74.4,0.33,0.44,2.03,1," R"," ."," M08STP1.4_H11"
32,1.92,1,506,650,0.11,0.99,-0.1,0.93,-0.68,0,0.35,1,73.9,72.9,0.34,0.43,1.91,1," R"," ."," M08EXE3.7AH12"
33,1.7,2,506,641,0.1,0.89,-2.88,0.81,-2.16,0.32,0.36,1,75.6,70.1,0.36,0.41,1.7,1," R"," ."," M08TNS1.2_SAMPLE"
34,1.34,1,506,704,0.1,0.93,-2.09,0.88,-1.64,0,0.43,1,69.5,66.7,0.39,0.44,1.34,1," R"," ."," M08STP1.4_H09"
