"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-1.16,2,610,487,0.12,0.9,-1.38,0.7,-2.32,-0.24,0.61,1,85.8,84.5,0.59,0.32,-1.16,1," R"," ."," M06TNS3.6CL02"
2,-1.09,2,610,474,0.12,0.99,-0.14,0.97,-0.15,-0.1,0.58,1,84.3,83.9,0.59,0.34,-1.09,1," R"," ."," M06STP2.5_M05"
3,-1.07,2,610,464,0.12,1.25,3.29,1.55,3.53,0.02,0.48,1,80.1,83.7,0.59,0.39,-1.07,1," R"," ."," M06RPR1.1_L02"
4,-0.98,2,610,452,0.12,1.26,3.55,1.13,0.99,0.1,0.5,1,78.2,82.9,0.58,0.4,-0.98,1," R"," ."," M06TNS1.1_L02"
5,-0.64,2,610,423,0.11,0.99,-0.23,0.84,-1.56,0.11,0.6,1,79.1,79.8,0.57,0.38,-0.64,1," R"," ."," M06STP2.5CL02"
6,-0.46,2,610,420,0.11,1.17,2.98,1.22,2.17,-0.03,0.48,1,72,78.1,0.56,0.42,-0.46,1," R"," ."," M06GEO1.1_L04"
7,-0.35,2,610,397,0.1,0.86,-2.77,0.76,-2.8,0.11,0.63,1,81.3,77.1,0.55,0.37,-0.35,1," R"," ."," M06STP2.5BL04"
8,-0.26,2,610,443,0.1,0.71,-6.47,0.66,-4.43,-0.51,0.65,1,85.1,76.4,0.55,0.34,-0.26,1," R"," ."," M06TNS3.6CM05"
9,-0.14,2,610,407,0.1,0.83,-3.77,0.84,-2,-0.21,0.6,1,81.7,75.3,0.54,0.37,-0.14,1," R"," ."," M06EXE1.1_L01"
10,-0.14,2,610,394,0.1,1.16,3.18,1.19,2.17,-0.07,0.47,1,68,75.3,0.54,0.44,-0.14,1," R"," ."," M06TNS1.1_M05"
11,0.1,2,610,327,0.1,1.07,1.49,1.05,0.66,0.34,0.51,1,70.6,73.5,0.53,0.44,0.1,1," R"," ."," M06EXE1.1_H10"
