"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-0.79,2,610,453,0.12,1.08,1.07,0.96,-0.3,0.12,0.6,1,81.2,84.1,0.6,0.36,-0.79,1," R"," ."," M08TNS1.2_L03"
2,-0.65,2,610,467,0.12,0.8,-3.01,0.67,-3.02,-0.21,0.65,1,85.5,82.8,0.59,0.32,-0.65,1," R"," ."," M08GEO1.2_L01"
3,-0.57,2,610,462,0.11,0.9,-1.56,0.8,-1.83,-0.22,0.61,1,82.7,82.1,0.58,0.35,-0.57,1," R"," ."," M08STP1.3_M05"
4,-0.46,2,610,398,0.11,1.35,5.01,1.47,3.77,0.44,0.49,1,72.6,80.9,0.58,0.44,-0.46,1," R"," ."," M08FUN1.1_L03"
5,-0.41,2,610,439,0.11,1.1,1.64,1.02,0.18,-0.07,0.53,1,75.6,80.4,0.57,0.4,-0.41,1," R"," ."," M08STP1.3_L02"
6,-0.34,2,610,443,0.11,1.08,1.34,1.12,1.11,-0.19,0.51,1,78.4,79.7,0.57,0.4,-0.34,1," R"," ."," M08GEO1.4_L04"
7,-0.16,2,610,395,0.1,0.96,-0.7,1.06,0.65,0.17,0.58,1,77.1,77.7,0.55,0.39,-0.16,1," R"," ."," M08TNS1.1_H10"
8,-0.15,2,610,387,0.1,0.94,-1.11,0.85,-1.67,0.24,0.61,1,76.8,77.6,0.55,0.39,-0.15,1," R"," ."," M08STP1.3_H09"
9,0.1,2,610,371,0.1,0.92,-1.81,0.9,-1.27,0.15,0.58,1,77,74.8,0.53,0.4,0.1,1," R"," ."," M08FUN1.1_H10"
10,0.29,2,610,310,0.1,1.3,6.46,1.3,3.57,0.52,0.42,1,60.2,72.8,0.52,0.49,0.29,1," R"," ."," M08FUN2.5_H10"
